"mid","rsm","rs","age","agem","schedcst"
"t7zex",3,2.94000005722046,40,50,1
"erv2t",2,NA,42,60,1
"es9e6",2,3.94000005722046,45,75,1
"tyrzf",6,NA,35,75,1
"qpwtd",7,NA,42,65,1
"tzyl4",3,NA,30,70,0
"m5toi",8,NA,35,72,0
"xvy51",7,NA,37,55,1
"a32mo",3,1.87999999523163,28,45,1
"zydga",4,NA,42,52,0
"kipfs",6,0.939999997615814,25,50,1
"wpm5s",7,NA,34,67,1
"ww1wc",4,2.94000005722046,43,69,1
"nh33w",5,NA,45,56,0
"itm9i",5,4.94000005722046,37,60,0
"zamze",6,NA,37,60,1
"oyesq",3,0.939999997615814,29,45,0
"szq73",6,NA,25,53,1
"gtjig",6,NA,73,75,1
"ya59c",10,NA,20,65,1
"bw25f",4,NA,70,75,1
"njm7o",11,NA,36,58,1
"v46px",7,NA,37,55,1
"c341k",4,0.939999997615814,25,48,0
"xwrmy",5,NA,35,73,0
"nh33w",5,1.94000005722046,41,56,0
"iops6",4,NA,48,58,1
"z0r1n",2,3,42,45,1
"kal41",4,3.88000011444092,38,70,1
"ddwa6",6,NA,27,65,1
"pmve5",4,NA,23,30,1
"ddd0y",6,4,60,70,1
"n09dz",4,NA,60,90,0
"kvgfb",3,NA,45,45,1
"zpxgf",4,2.94000005722046,40,75,0
"cmc97",4,0.939999997615814,30,60,1
"gigpe",10,4.82000017166138,32,60,1
"zydga",4,NA,37,52,0
"ezq7y",6,NA,60,55,1
"k6txm",6,2.88000011444092,32,67,0
"mgw2d",2,1.94000005722046,33,55,1
"o2gqf",3,NA,55,72,1
"pv1lm",2,3.88000011444092,38,50,1
"jyuc5",5,NA,20,65,1
"xm4l6",7,NA,32,60,0
"h69qn",4,1.87999999523163,32,80,1
"yppcr",6,0.939999997615814,36,53,1
"up1lt",4,1.87999999523163,34,55,1
"rqn4h",8,NA,30,65,1
"wrl81",3,NA,37,67,0
"podrs",4,5.88000011444092,45,70,1
"f2gpt",3,3.94000005722046,40,35,1
"d6b8c",5,5.94000005722046,45,35,1
"ecx6l",4,5,39,80,1
"cue96",9,NA,26,65,0
"xr98q",6,1.87999999523163,35,65,1
"ekxfx",7,NA,42,75,1
"lbzsj",9,NA,26,65,1
"gyqtf",4,NA,42,47,1
"wgwfp",6,NA,50,75,1
"b4x63",5,NA,25,48,1
"qs9wy",5,4.88000011444092,40,60,1
"u37ec",6,2.94000005722046,50,50,0
"l61a2",8,NA,34,60,1
"h35vf",6,1.94000005722046,34,67,1
"vyxsu",2,NA,38,40,1
"vz31p",9,1.87999999523163,32,60,1
"f6v2y",2,NA,40,57,1
"zt7kd",1,1.87999999523163,35,60,1
"f3m1a",2,NA,40,55,1
"ed8fi",6,NA,23,50,1
"yajq0",6,NA,50,60,1
"x38d3",6,2.94000005722046,37,62,1
"bp8vg",7,NA,40,65,0
"p30xd",10,3.88000011444092,40,75,0
"z92kq",4,1.94000005722046,27,57,1
"jbw94",5,0.939999997615814,25,45,1
"i9lrt",6,2.94000005722046,30,48,1
"n09dz",4,5,55,90,0
"dujeh",2,6,40,75,1
"wcj8y",6,NA,28,65,0
"fvnir",3,3.94000005722046,45,65,1
"zamze",6,NA,33,60,1
"ptg87",2,5.82000017166138,40,65,1
"vz31p",9,NA,45,60,1
"o0ccx",5,NA,27,46,1
"keblw",2,2,50,80,1
"ycddn",4,NA,38,65,1
"o0n6x",3,NA,32,80,1
"azaaa",8,NA,30,55,1
"wm79e",4,1,52,56,0
"ujz0j",7,NA,25,40,1
"by5bw",8,1.87999999523163,40,68,1
"icrz0",5,NA,23,65,1
"kfkad",8,NA,36,42,1
"k0yyk",5,NA,42,70,1
"wgwfp",6,4.94000005722046,47,75,1
"ezq7y",6,6.94000005722046,50,55,1
"g120g",4,6,43,70,1
"ca2zv",6,0.939999997615814,36,75,0
"o7pys",3,2.94000005722046,37,60,1
"nj5r5",4,NA,48,69,1
"sf4ie",6,NA,24,50,1
"egk3e",6,NA,28,50,0
"idjqi",6,NA,38,45,1
"xu89w",5,NA,30,75,1
"ki94a",6,NA,50,72,1
"npbu6",7,NA,40,75,0
"sf4ie",6,NA,22,50,1
"ygjnc",7,2.8199999332428,35,45,0
"oarql",5,2.94000005722046,40,60,0
"dy2se",8,NA,30,50,1
"zpxgf",4,NA,48,75,0
"cx8js",8,NA,30,45,0
"njm7o",11,NA,41,58,1
"qmpfx",2,6.94000005722046,65,75,1
"s2byi",3,0.939999997615814,30,45,1
"f2hi1",5,2.88000011444092,36,42,1
"d1jkg",6,NA,50,70,1
"j30lo",8,NA,32,60,1
"ubb4b",4,NA,30,60,1
"vol0m",9,NA,40,60,1
"o6au9",6,NA,38,70,1
"m9usq",2,1.87999999523163,40,48,1
"uudxx",6,NA,45,74,0
"wgncs",4,NA,31,60,0
"mlwk3",2,NA,55,50,1
"w234a",6,3.94000005722046,37,65,1
"f2hi1",5,NA,34,42,1
"vxl3x",3,NA,37,57,1
"vol0m",9,NA,31,60,1
"p991g",5,1.87999999523163,38,55,1
"s0n7f",2,1.87999999523163,26,53,1
"gg305",9,NA,40,80,1
"xciva",8,NA,41,45,1
"vq5u8",4,NA,39,65,0
"erkmu",2,NA,22,70,1
"tbhbf",2,5.82000017166138,40,59,1
"fyb16",2,2.88000011444092,32,40,1
"zkbdt",5,3.94000005722046,38,65,1
"dy2se",8,NA,25,50,1
"zxij7",1,3.94000005722046,44,60,1
"mrujl",3,6.88000011444092,36,35,1
"ed8fi",6,2.88000011444092,30,50,1
"exj5h",6,NA,62,60,1
"eii9b",3,1.94000005722046,40,69,1
"hdpl4",9,NA,26,55,1
"xuwoc",2,2.88000011444092,35,65,1
"o2gqf",3,2.94000005722046,40,72,1
"kv5vn",7,NA,38,65,0
"c3k81",8,NA,33,66,0
"jar4c",5,NA,35,60,1
"xm4l6",7,NA,23,60,0
"f3m1a",2,4.94000005722046,42,55,1
"apzl6",4,NA,45,60,1
"p14m3",5,2.94000005722046,31,55,1
"aso3l",5,NA,23,48,0
"x67rf",7,3.88000011444092,35,58,1
"szlv3",7,NA,27,56,1
"w8mrs",5,1.87999999523163,30,65,1
"jt0g5",4,1.87999999523163,34,55,1
"tlzcq",5,2.88000011444092,35,65,0
"u6ki9",8,NA,45,82,1
"exnp1",4,0.939999997615814,38,52,0
"jgjzf",7,NA,40,60,1
"cfb9d",7,NA,25,58,1
"ygjnc",7,NA,25,45,0
"y2wwc",7,NA,26,65,0
"slhyj",6,1.87999999523163,45,65,1
"tihlt",5,2.8199999332428,33,75,1
"m7r6t",3,NA,34,57,1
"o3k3y",3,2.94000005722046,45,70,1
"jryvq",4,NA,35,65,1
"icrz0",5,0.939999997615814,31,65,1
"irjlo",2,0.939999997615814,30,35,1
"c341k",4,NA,31,48,0
"ey6ov",2,2.88000011444092,34,60,1
"o5pzg",3,NA,27,45,1
"u6ki9",8,NA,58,82,1
"xp8vl",6,NA,21,45,1
"twbst",2,1.94000005722046,30,47,1
"njm7o",11,NA,42,58,1
"l1pcl",6,1.94000005722046,35,67,1
"j413c",5,1.87999999523163,38,60,0
"d6b8c",5,NA,40,35,1
"bpz4g",6,NA,64,82,0
"gmwda",4,3.8199999332428,35,30,1
"v5dku",6,2,40,60,1
"zzug5",5,2.94000005722046,32,55,1
"i04on",5,3,38,65,1
"lgx1z",5,0.939999997615814,42,70,0
"prk0k",3,NA,25,70,1
"c5bey",6,NA,32,70,1
"jogjn",5,1.94000005722046,38,68,0
"hgdrg",7,NA,22,55,0
"y2wwc",7,NA,38,65,0
"l61a2",8,1.87999999523163,26,60,1
"o0ccx",5,NA,30,46,1
"ktgqz",5,NA,32,57,0
"jgjzf",7,NA,45,60,1
"or4zn",5,9.9399995803833,42,52,1
"j30lo",8,0.939999997615814,35,60,1
"c3k81",8,NA,30,66,0
"y2wwc",7,NA,30,65,0
"jkoi5",5,NA,30,35,0
"t6c4j",4,NA,45,65,0
"iops6",4,3.88000011444092,38,58,1
"gg305",9,NA,38,80,1
"gz65n",1,2.88000011444092,28,55,1
"ssp64",8,NA,60,80,0
"v8gef",4,0.939999997615814,35,58,1
"vzs0j",8,NA,30,56,0
"eii9b",3,4,44,69,1
"ptg87",2,NA,30,65,1
"xwrmy",5,NA,40,73,0
"aso3l",5,1.87999999523163,25,48,0
"jkoi5",5,0.939999997615814,35,35,0
"wnzgn",4,NA,42,65,1
"y6f0n",4,NA,25,65,1
"yr8j1",4,3.94000005722046,35,50,1
"am56v",1,6.94000005722046,70,35,1
"jdt6s",2,2.88000011444092,30,25,1
"igq7g",2,2.94000005722046,38,55,1
"brtst",5,NA,38,70,0
"zwy7f",2,NA,35,40,0
"yajq0",6,1.87999999523163,36,60,1
"szq73",6,NA,23,53,1
"gg305",9,5,45,80,1
"ytms1",11,NA,26,56,0
"xciva",8,NA,43,45,1
"v46px",7,5.88000011444092,45,55,1
"pmve5",4,4.94000005722046,33,30,1
"p6afs",5,3.94000005722046,39,62,1
"ou59e",8,NA,27,57,1
"e6e2m",4,NA,33,60,1
"bp8vg",7,NA,55,65,0
"njm7o",11,4.94000005722046,38,58,1
"qpdzb",4,NA,32,45,1
"d1jkg",6,2.88000011444092,30,70,1
"yvl8v",4,NA,36,46,1
"htx73",6,2,40,75,1
"ey6ov",2,NA,36,60,1
"u6ki9",8,NA,41,82,1
"n0duo",6,NA,25,63,1
"xr98q",6,NA,28,65,1
"ddd0y",6,NA,72,70,1
"c3k81",8,NA,36,66,0
"bw25f",4,NA,75,75,1
"ode63",7,3.88000011444092,36,50,1
"nced2",8,NA,50,85,1
"t6c4j",4,3.88000011444092,40,65,0
"ce3rt",4,0.939999997615814,32,50,1
"jgjzf",7,NA,47,60,1
"yy3wq",1,0.939999997615814,32,45,1
"u0xh9",9,1.94000005722046,45,60,1
"zzug5",5,0.939999997615814,28,55,1
"zohh4",7,0.939999997615814,35,55,1
"szlv3",7,NA,25,56,1
"hbycq",4,4.88000011444092,47,65,1
"ppk7q",6,2.88000011444092,53,68,0
"qpdzb",4,0.939999997615814,30,45,1
"c3k81",8,4.94000005722046,39,66,0
"sn5i1",2,NA,28,50,1
"gg305",9,NA,42,80,1
"ssp64",8,3,55,80,0
"umly5",6,NA,51,45,1
"xvy51",7,NA,31,55,1
"ash2k",2,NA,38,55,0
"b7jht",8,NA,45,60,0
"v9vfp",4,NA,32,65,1
"pmve5",4,NA,25,30,1
"snb3j",6,4,40,60,1
"zb9rc",4,NA,29,52,0
"e6m9y",5,NA,28,50,1
"pkbx5",7,NA,28,54,1
"ktgqz",5,NA,26,57,0
"cue96",9,1.87999999523163,40,65,0
"ww1wc",4,NA,45,69,1
"iops6",4,NA,45,58,1
"cw0fb",2,6,65,35,1
"kcygy",5,NA,36,70,1
"mn1o8",6,6.94000005722046,55,63,1
"zohh4",7,NA,27,55,1
"mchod",6,NA,35,69,1
"hmw2w",3,2.88000011444092,35,52,1
"kfkad",8,NA,41,42,1
"bi7g1",4,NA,30,50,1
"zak6v",6,2.8199999332428,40,65,1
"j0hrj",6,0.939999997615814,30,55,1
"mnsm2",3,1.94000005722046,40,66,1
"w9xgb",4,6,55,65,1
"irjlo",2,NA,25,35,1
"d0u1m",5,4,60,70,1
"rymlw",7,NA,27,48,1
"heuh1",3,NA,40,30,1
"vj3x5",8,NA,65,75,1
"vol0m",9,NA,21,60,1
"tw8px",4,1,31,80,1
"vfycx",7,0.939999997615814,38,65,0
"b0yrf",5,NA,25,45,1
"gkgfl",5,3.94000005722046,42,58,0
"b7jht",8,2,40,60,0
"vj3x5",8,NA,45,75,1
"tabpg",7,NA,42,60,1
"i391a",7,NA,27,48,0
"iofhx",6,NA,28,60,1
"ytms1",11,NA,32,56,0
"u0xh9",9,NA,36,60,1
"cldhr",6,NA,25,57,0
"jogjn",5,NA,43,68,0
"hbycq",4,NA,42,65,1
"j1zfa",5,2.94000005722046,42,65,1
"zhsh2",2,NA,30,65,1
"c4t3f",6,NA,30,66,0
"zt7vo",3,5.88000011444092,40,60,1
"zb9rc",4,NA,28,52,0
"fjxfz",4,0.939999997615814,34,40,0
"tihlt",5,NA,40,75,1
"b5pea",3,NA,35,45,1
"lgx1z",5,NA,65,70,0
"b5pea",3,4.94000005722046,45,45,1
"lw1d1",9,NA,30,56,1
"lu8cd",4,NA,25,54,1
"ytb1t",7,NA,50,90,0
"qpwtd",7,3,39,65,1
"v5dku",6,NA,37,60,1
"ppulo",3,2.88000011444092,35,50,1
"ekxfx",7,2.94000005722046,48,75,1
"bpz4g",6,NA,60,82,0
"thq2c",4,NA,37,57,1
"ash2k",2,1.94000005722046,35,55,0
"hdpl4",9,0.939999997615814,32,55,1
"mav7c",10,NA,21,60,1
"qpdzb",4,NA,28,45,1
"xm4l6",7,1.87999999523163,40,60,0
"xn2s5",1,4,50,70,1
"aaryg",7,NA,28,65,0
"rwq82",4,NA,26,48,1
"ftsoh",5,3.94000005722046,50,85,1
"u4epy",4,NA,42,62,1
"k6txm",6,NA,38,67,0
"g120g",4,5,56,70,1
"nced2",8,NA,58,85,1
"hmme1",7,0.939999997615814,28,55,1
"c4t3f",6,NA,32,66,0
"s18zo",2,1.94000005722046,35,55,1
"xvrf3",3,NA,21,55,1
"p6afs",5,NA,57,62,1
"a32mo",3,1.87999999523163,26,45,1
"igwi6",5,2.88000011444092,45,70,1
"e78x3",4,NA,23,49,1
"ca2zv",6,4,54,75,0
"aaryg",7,NA,40,65,0
"m7r6t",3,NA,30,57,1
"c6o5u",5,0.939999997615814,34,60,1
"j30lo",8,NA,30,60,1
"ru7qr",7,4.88000011444092,35,73,1
"i9lrt",6,NA,28,48,1
"sfmqk",4,NA,30,55,1
"w9302",7,NA,29,50,1
"pls85",3,NA,40,60,1
"u0xh9",9,NA,38,60,1
"wawmt",2,3,45,65,1
"b7jht",8,NA,35,60,0
"cx8js",8,NA,55,45,0
"ohfr7",4,1.87999999523163,25,45,0
"nb0x9",7,3.88000011444092,38,75,1
"jjqm4",7,NA,44,65,1
"obnr9",5,1.87999999523163,40,60,1
"iofhx",6,1.87999999523163,25,60,1
"oarql",5,NA,27,60,0
"qojag",4,3.88000011444092,35,55,1
"kvgfb",3,5.88000011444092,38,45,1
"qosdj",6,0.939999997615814,27,60,0
"jogjn",5,NA,34,68,0
"h84p6",7,NA,30,50,1
"j32d5",2,0.939999997615814,30,60,1
"nb0x9",7,NA,36,75,1
"mrujl",3,1.94000005722046,40,35,1
"qk6t6",1,3.88000011444092,45,40,1
"dz1o1",3,5,49,63,1
"ru7qr",7,NA,40,73,1
"o3k3y",3,0.939999997615814,40,70,1
"j0hrj",6,NA,26,55,1
"kal41",4,NA,46,70,1
"wud0s",1,1.94000005722046,35,20,0
"ekxfx",7,0.939999997615814,36,75,1
"idjqi",6,1.94000005722046,45,45,1
"hfier",4,1.94000005722046,40,50,1
"qojag",3,4.94000005722046,43,55,1
"rznv6",2,NA,30,40,0
"yajq0",6,NA,33,60,1
"lpz9e",5,NA,36,40,1
"v9vfp",4,0.939999997615814,35,65,1
"xq5t5",7,1.94000005722046,37,75,1
"zak6v",6,NA,35,65,1
"xdubn",6,3.88000011444092,40,80,1
"slhyj",6,NA,20,65,1
"yajq0",6,NA,45,60,1
"xm4l6",7,NA,26,60,0
"hlnzp",5,1.87999999523163,25,45,1
"h0p3a",2,2.94000005722046,45,30,1
"wnzgn",4,5,45,65,1
"ia2gq",6,5.94000005722046,41,75,1
"zp0u5",7,0.939999997615814,26,65,1
"kfkad",8,5,45,42,1
"ckd9c",4,NA,50,80,1
"fo3hv",1,0.939999997615814,27,20,1
"itm9i",5,NA,45,60,0
"hfu4z",2,7,55,50,1
"vfycx",7,NA,22,65,0
"xdubn",6,NA,45,80,1
"ohfr7",4,NA,23,45,0
"szlv3",7,NA,20,56,1
"ktgqz",5,1,35,57,0
"rqn4h",8,NA,43,65,1
"x7ogz",7,NA,25,40,1
"xwrmy",5,0.939999997615814,43,73,0
"jf49l",6,0.939999997615814,32,40,1
"z7whd",6,5,58,70,1
"hu31f",7,1.87999999523163,35,60,0
"k0yyk",5,0.939999997615814,35,70,1
"uudxx",6,NA,43,74,0
"x67rf",7,1.87999999523163,33,58,1
"cue96",9,NA,30,65,0
"w234a",6,NA,28,65,1
"ckbkd",3,3.88000011444092,40,65,1
"tabpg",7,0.939999997615814,39,60,1
"zt5a3",2,2.94000005722046,40,40,1
"ekxfx",7,NA,33,75,1
"oyesq",3,NA,24,45,0
"gtjig",6,NA,67,75,1
"htx73",6,NA,53,75,0
"l1pcl",6,3.88000011444092,40,67,1
"umly5",6,NA,46,45,1
"l1pcl",6,NA,45,67,1
"c5bey",6,NA,28,70,1
"ki94a",6,NA,35,72,1
"x7ogz",7,1.87999999523163,33,40,1
"jar4c",5,NA,30,60,1
"df903",6,NA,49,65,1
"cxkuc",3,1.87999999523163,30,55,1
"vpy9r",4,NA,42,70,0
"oyesq",3,NA,27,45,0
"w9302",7,NA,33,50,1
"uxyup",3,2.88000011444092,40,60,0
"lu8cd",4,0.939999997615814,30,54,1
"ya59c",10,1.87999999523163,36,65,1
"c7akk",3,1.94000005722046,38,65,1
"zzx1f",4,NA,28,75,1
"p30xd",10,NA,25,75,0
"ya59c",10,NA,37,65,1
"mk91t",3,NA,30,60,1
"pmve5",4,1.87999999523163,28,30,1
"u0xh9",9,NA,47,60,1
"p991g",5,NA,32,55,1
"kgt90",6,NA,25,60,1
"bw25f",4,7,68,75,1
"qq1t8",5,2.94000005722046,32,65,1
"wgwfp",6,NA,35,75,1
"hu31f",7,NA,22,60,0
"doakl",7,NA,36,65,0
"lbzsj",9,NA,37,65,1
"df903",6,NA,45,65,1
"gtjig",6,NA,56,75,1
"alpdl",4,NA,34,62,1
"nr1qf",5,NA,32,55,1
"ytms1",11,NA,20,56,0
"ytb1t",7,NA,58,90,0
"yajq0",6,4.94000005722046,40,60,1
"szq73",6,1.94000005722046,35,53,1
"mgdw4",7,NA,34,46,1
"vz31p",9,NA,35,60,1
"lxuir",6,NA,23,70,1
"w234a",6,NA,34,65,1
"zhsh2",2,5.82000017166138,36,65,1
"mchod",6,2.94000005722046,40,69,1
"idjqi",6,NA,36,45,1
"x38d3",6,NA,34,62,1
"yla3j",5,1.87999999523163,30,50,1
"lpz9e",5,2.94000005722046,32,40,1
"nj5r5",4,NA,42,69,1
"hdq6d",1,3.94000005722046,40,45,1
"lgx1z",5,NA,48,70,0
"hmme1",7,NA,23,55,1
"yx9wf",1,1.94000005722046,30,40,1
"slhyj",6,NA,25,65,1
"xu89w",5,6.88000011444092,40,75,1
"vzs0j",8,NA,21,56,0
"bw2w1",3,0.939999997615814,45,65,0
"jar4c",5,2.94000005722046,40,60,1
"ix3z5",6,NA,27,60,1
"tfav8",3,1.94000005722046,32,55,1
"q582l",3,4.88000011444092,44,63,1
"cldhr",6,NA,23,57,0
"ujz0j",7,0.939999997615814,30,40,1
"h9wrq",2,1,50,50,0
"b7jht",8,NA,58,60,0
"pwn80",2,4.94000005722046,38,55,1
"hmme1",7,5.88000011444092,35,55,1
"xvy51",7,NA,42,55,1
"xwrmy",5,NA,45,73,0
"obnr9",5,1.94000005722046,45,60,1
"vj3x5",8,NA,50,75,1
"yg55o",7,4.94000005722046,37,45,1
"j30lo",8,NA,26,60,1
"o0n6x",3,NA,48,80,1
"tihlt",6,1.87999999523163,38,75,1
"sfmqk",4,3.94000005722046,39,55,1
"or4zn",5,NA,41,52,1
"v46px",7,NA,25,55,1
"v2m07",4,NA,42,30,1
"htx73",6,NA,42,75,0
"v46px",7,2.94000005722046,40,55,1
"jed52",9,5.94000005722046,45,62,1
"gw2r5",5,2.94000005722046,40,52,1
"wgwfp",6,NA,54,75,1
"lss3j",4,NA,33,65,0
"xu89w",5,2.94000005722046,36,75,1
"fo5ku",1,8,45,25,0
"l5ust",8,NA,55,85,1
"egk3e",6,1.87999999523163,31,50,0
"zb9rc",4,2.88000011444092,35,52,0
"ujz0j",7,NA,29,40,1
"ssp64",8,3,45,80,0
"k0yyk",5,5.94000005722046,37,70,1
"yyhgd",6,2,47,65,1
"pssfs",3,NA,45,85,1
"kgt90",6,1.87999999523163,35,60,1
"lxuir",6,NA,50,70,1
"j0ft2",4,1.87999999523163,30,38,0
"k6txm",6,NA,42,67,0
"gigpe",10,NA,28,60,1
"w9xgb",4,NA,45,65,1
"i391a",7,2,32,48,0
"jryvq",4,NA,30,65,1
"vyxsu",2,0.939999997615814,35,40,1
"c385z",2,5.94000005722046,50,40,1
"ua98m",6,2.88000011444092,40,50,1
"o6au9",6,NA,35,70,1
"ku56w",3,NA,46,60,1
"nr1qf",5,2.94000005722046,35,55,1
"rymlw",7,NA,25,48,1
"mgw2d",2,NA,41,55,1
"l75vm",2,2.88000011444092,40,60,1
"t5jkd",5,1.87999999523163,28,50,1
"gqi8x",3,2.94000005722046,33,50,1
"s2byi",3,NA,27,45,1
"vq5u8",4,1.94000005722046,45,65,0
"idjqi",6,NA,48,45,1
"ix3z5",6,NA,38,60,1
"uxyup",3,NA,35,60,0
"v5eoh",7,NA,24,58,1
"w6nl6",3,5.94000005722046,45,63,1
"b3lin",4,6.94000005722046,50,87,1
"edasu",4,NA,30,52,1
"hgdrg",7,NA,29,55,0
"kcygy",4,1.87999999523163,40,70,1
"muzsy",3,5,55,62,1
"b4c4n",7,NA,27,60,1
"r557u",3,0.939999997615814,40,59,0
"bp8vg",7,NA,30,65,0
"vj3x5",8,NA,28,75,1
"uakb0",5,0.939999997615814,30,52,1
"e78x3",4,0.939999997615814,27,49,1
"b1ddk",5,NA,37,70,1
"q89oy",4,NA,65,70,0
"w234a",6,NA,30,65,1
"as5lv",3,3.88000011444092,35,52,1
"f3we1",4,3.88000011444092,30,55,0
"b86j5",9,NA,35,54,1
"ytms1",11,NA,24,56,0
"uudxx",6,0.939999997615814,37,74,0
"ytms1",11,1.94000005722046,38,56,0
"kvmcx",5,NA,23,55,1
"mk91t",3,3.88000011444092,36,60,1
"fhf45",3,1.94000005722046,30,40,1
"yr8j1",4,NA,32,50,1
"lw1d1",9,NA,42,56,1
"a2dop",3,1.87999999523163,35,34,1
"hipj5",6,NA,28,55,0
"u37ec",6,NA,45,50,0
"z92kq",4,2.94000005722046,30,57,0
"m8nr8",2,7.88000011444092,40,55,1
"kv5vn",7,5.88000011444092,40,65,0
"w9302",7,NA,26,50,1
"ki94a",6,6.94000005722046,45,72,1
"jar4c",5,NA,38,60,1
"hicss",2,0.939999997615814,30,70,1
"iofhx",6,NA,42,60,1
"dz0lg",3,0.939999997615814,30,50,1
"hgdrg",7,NA,25,55,0
"mbypv",4,NA,47,60,1
"apod4",4,2.88000011444092,40,55,0
"l1pcl",6,NA,38,67,1
"mrujl",4,4.94000005722046,42,35,1
"zboqn",3,3.88000011444092,45,58,1
"miv5m",4,3,45,35,1
"nej4k",2,3,35,60,1
"v46px",7,0.939999997615814,43,55,1
"rl5c0",2,0.939999997615814,23,40,1
"ia2gq",6,0.939999997615814,35,75,1
"f6v2y",2,1.94000005722046,35,57,1
"ww1wc",4,NA,38,69,1
"hipj5",6,NA,37,55,0
"p14m3",5,NA,20,55,1
"bhwti",3,3,55,70,1
"mn1o8",6,NA,47,63,1
"bp8vg",7,NA,34,65,0
"l039p",3,4,55,52,1
"v8gef",4,NA,40,58,1
"wofdz",3,0.939999997615814,30,47,1
"lbzsj",9,NA,22,65,1
"gzfxz",4,2.94000005722046,45,65,1
"ehv22",4,1.94000005722046,42,70,1
"as5lv",3,NA,40,52,1
"o6au9",6,1.94000005722046,32,70,1
"kcygy",4,NA,48,70,1
"azaaa",8,NA,30,55,1
"ekxfx",7,NA,39,75,1
"o6au9",6,NA,40,70,1
"ec3eu",5,NA,35,65,1
"ysfg9",2,4.94000005722046,45,76,1
"vpy9r",4,2.88000011444092,48,70,0
"ib5v4",2,9,48,68,0
"zeifn",4,NA,24,28,1
"ssp64",8,NA,42,80,0
"tno4i",3,2.94000005722046,40,60,1
"x6tfq",5,1.87999999523163,31,42,1
"apod4",4,NA,55,55,0
"ixhx1",4,NA,43,73,1
"b0yrf",5,NA,22,45,1
"nr1qf",5,NA,24,55,1
"hcrya",1,0.939999997615814,35,30,1
"qkqh3",6,NA,23,50,1
"lxuir",6,4.94000005722046,40,70,1
"jyuc5",5,3.88000011444092,35,65,1
"m60x2",2,2.94000005722046,35,50,1
"wgncs",4,NA,24,60,0
"tyrzf",6,4.88000011444092,40,75,1
"ees27",5,4,43,60,1
"p0m5x",5,NA,56,75,1
"zxq6v",4,0.939999997615814,25,49,1
"ia2gq",6,NA,45,75,1
"mi40o",7,NA,29,60,1
"c7akk",3,NA,35,65,1
"xaq7s",2,3,36,40,1
"kgt90",6,NA,20,60,1
"ddd0y",6,NA,66,70,1
"p5kqs",6,NA,36,75,1
"yaia1",2,NA,30,60,1
"va25e",1,0.939999997615814,25,60,1
"ddwa6",6,4.94000005722046,45,65,1
"c6o5u",5,NA,24,60,1
"kcygy",4,NA,42,70,1
"a9zbh",4,2,37,45,1
"l039p",3,5,50,52,1
