"fid","mid","kcal","kcalm","kcalf","sex","age","agem","agef"
"rbhzm","ej9aw",NA,NA,NA,1,NA,61,66
"c7yda","o58eh",0,NA,3844.80151367188,1,33,68,71
"lu6pe",NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"vc7kn","nt1nz",NA,4137.11083984375,NA,1,NA,32,46
"xyf3r","edm41",NA,NA,NA,2,NA,35,36
"jciki","zj5sw",NA,NA,NA,1,NA,56,27.5
NA,"yj31r",NA,NA,NA,2,NA,18,NA
"yelcr","nufgb",NA,NA,NA,1,NA,58,63
NA,NA,NA,NA,NA,1,NA,NA,NA
"tekry","llssn",NA,NA,NA,1,NA,61,68
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,"mlnzn",NA,NA,NA,2,NA,66,NA
NA,"e80bf",NA,NA,NA,1,NA,60,NA
"l8uy0","gy4cz",NA,NA,NA,2,NA,66,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"c7yda","zziaa",NA,4823.505859375,3844.80151367188,1,NA,52.5,71
"t9fii","y3fem",NA,NA,NA,1,NA,39,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"l4048","rj01x",NA,NA,NA,1,NA,30.5,48
"evjer","wcb7x",NA,NA,NA,2,NA,70,NA
"ynuzi","tgbx9",NA,4231.89990234375,409.446563720703,1,NA,28.5599994659424,28.5
"uf2oz","ogvt8",NA,NA,NA,1,NA,71,NA
"qjtri","zacat",NA,NA,NA,2,NA,48,56
NA,NA,NA,NA,NA,1,NA,NA,NA
"un2am","lplfz",NA,2129.28271484375,4408.14501953125,2,NA,24,37
"xbbuu","a4pbf",NA,NA,NA,2,NA,44,51
"ligpw","fqdbd",0,1838.9453125,841.377319335938,1,0,34,37
NA,NA,NA,NA,NA,NA,NA,NA,NA
"jml6w","wxfl3",NA,NA,NA,2,NA,69,59
"d1n7j","gwgea",NA,87.2368392944336,NA,1,NA,17,24
NA,NA,NA,NA,NA,1,NA,NA,NA
"yiurd","bk2ju",NA,NA,NA,1,NA,40,53
NA,"ctnt0",NA,NA,NA,1,NA,22,NA
NA,"kqib1",NA,NA,NA,1,NA,15,NA
"tekry","llssn",NA,NA,NA,2,NA,61,68
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"psauo",NA,NA,NA,1,NA,34,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,519.374450683594,NA,NA,NA,7,NA,NA
NA,"b982q",NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,"wofbq",206.040573120117,NA,NA,2,6.5,25,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"egrjp","z857z",NA,78.2818145751953,NA,2,NA,50,48.5
"xuwsm","z0fx1",NA,369.50537109375,5289.39501953125,2,NA,21.5,28
"ni94m","mmbnq",NA,NA,NA,1,NA,15,17
NA,"pg2o3",NA,NA,NA,2,NA,46,NA
"kadhe","bsj18",NA,3193.01000976562,NA,1,NA,54,51
NA,NA,NA,NA,NA,NA,NA,NA,NA
"ls30o","vi5b3",NA,NA,2406.7333984375,2,NA,31,38.2000007629395
NA,"gzcpj",NA,NA,NA,2,NA,25,NA
"bxhhq","ip3cb",NA,NA,NA,1,NA,36,40.5
NA,NA,NA,NA,NA,NA,NA,NA,NA
"he4si","z5n4h",NA,NA,NA,2,NA,40,84
NA,"yy205",NA,2971.93969726562,NA,1,NA,20.5,NA
"lu6pe",NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"vc7kn","nt1nz",NA,4137.11083984375,NA,1,NA,32,46
NA,NA,NA,NA,NA,NA,NA,NA,NA
"ggs0t","s0adq",NA,NA,NA,1,NA,14.5,15
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"ami7o","ugd0l",NA,NA,NA,2,NA,24,34
NA,NA,5241.42578125,NA,NA,NA,33,NA,NA
"nggt4","k7f1n",NA,NA,8016.15966796875,2,NA,32,39
NA,NA,NA,NA,NA,1,NA,NA,NA
"hsga4","rvmrf",NA,NA,NA,1,NA,40,NA
"pqbdh","nv9zo",NA,NA,NA,1,NA,67,76
NA,"ugjlv",NA,NA,NA,2,NA,22,NA
"or7a2","psauo",NA,NA,NA,2,NA,34,39
"o284l","pzxei",NA,61.3888893127441,NA,2,NA,38,41
NA,NA,NA,NA,NA,2,NA,NA,NA
"wqve6","d5edk",NA,NA,NA,1,NA,NA,57.5
"dvb3a","iax7l",NA,NA,NA,2,NA,47,56
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,4565.9912109375,NA,NA,1,57,NA,NA
"kaiu6","xjlg3",NA,NA,NA,2,NA,21,33
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"exlsl","q04di",NA,NA,NA,2,NA,57,61
NA,"gzcpj",NA,NA,NA,1,NA,25,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"ucjcs","p1x4b",NA,NA,4434.90478515625,1,NA,36,36
NA,NA,NA,NA,NA,2,NA,NA,NA
"nzwor","pmvc0",NA,NA,NA,1,NA,66,NA
"fgshf","rq15a",NA,NA,990.088684082031,1,NA,31,32
"sytcn","j466d",NA,NA,NA,1,NA,52,41
NA,NA,NA,NA,NA,NA,NA,NA,NA
"m3kvw","v22jc",1028.19482421875,1344.92224121094,4053.10546875,2,14.5100002288818,44,51.75
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,0,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"dvb3a","iax7l",NA,NA,NA,2,NA,47,56
"evjer","wcb7x",NA,NA,NA,2,NA,70,NA
"tm63m","xj2wk",1042.96643066406,1611.26574707031,NA,2,37,59,66
NA,NA,NA,NA,NA,1,NA,NA,NA
"bqvop","yjh4b",NA,NA,NA,1,NA,54,61
"qzvl3","oyp2e",22.0227279663086,1524.525390625,105.834754943848,1,4,35,36
NA,"i8dnj",NA,NA,NA,2,NA,32.5,NA
"un2am","lplfz",NA,2129.28271484375,4408.14501953125,2,NA,24,37
NA,"ogc8z",NA,NA,NA,2,NA,57.5,NA
"e1j1e",NA,NA,NA,NA,2,NA,NA,24
NA,"w2fgm",NA,NA,NA,1,NA,41,NA
"qjtri","zacat",NA,NA,NA,2,NA,48,56
NA,NA,NA,NA,NA,NA,NA,NA,NA
"eb6yg","z6nna",NA,NA,NA,1,NA,64,78
"kz2g3","ye577",0,NA,NA,2,0.75,33,41
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"ynuzi","tgbx9",NA,4231.89990234375,409.446563720703,1,NA,28.5599994659424,28.5
NA,"bjw1i",NA,NA,NA,2,NA,23,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"r9nni","rvmrf",NA,NA,NA,1,NA,40,NA
"sytcn","ewoy2",NA,NA,NA,2,NA,NA,41
"l4048","rj01x",NA,NA,NA,2,NA,30.5,48
NA,NA,NA,NA,NA,NA,NA,NA,NA
"rc10x","a4x4v",2352.0107421875,NA,NA,1,75,NA,NA
"nnfo6","gosdf",NA,4135.33447265625,NA,2,NA,64,45
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"bm6wq","vvemo",NA,2296.67236328125,1470.46484375,2,NA,54,66
"m8tph","bk2ju",NA,NA,NA,2,NA,40,68
NA,"zziaa",NA,4823.505859375,NA,1,NA,52.5,NA
"nnu2w","x86yw",NA,3493.11254882812,NA,2,NA,14.5,22.3500003814697
NA,NA,NA,NA,NA,2,NA,NA,NA
"mop1n","h5vfr",NA,NA,NA,2,NA,21,34
NA,NA,NA,NA,NA,1,NA,NA,NA
"ami7o","ugd0l",NA,NA,NA,2,NA,24,34
"nnu2w","x86yw",NA,3493.11254882812,NA,1,NA,14.5,22.3500003814697
NA,NA,NA,NA,NA,2,NA,NA,NA
"odemz","y8cgb",NA,NA,NA,1,NA,37,66
"ia2tb","xjlg3",NA,NA,NA,2,NA,21,31
"yiurd","bk2ju",NA,NA,NA,2,NA,40,53
"wkqnr","nurj7",2594.77978515625,NA,1430.69799804688,2,18.3299999237061,41,33
"ls30o","vi5b3",NA,NA,2406.7333984375,2,NA,31,38.2000007629395
"v73iy","nonnr",NA,3656.29858398438,NA,2,NA,62,NA
"xuwsm","z0fx1",NA,369.50537109375,5289.39501953125,2,NA,21.5,28
"btcas","gy4cz",NA,NA,NA,1,NA,66,80
"uf2oz","ogvt8",NA,NA,NA,1,NA,71,NA
NA,"mlnzn",NA,NA,NA,2,NA,66,NA
"fquo7",NA,NA,NA,NA,1,NA,NA,51
NA,NA,NA,NA,NA,NA,NA,NA,NA
"kadhe","bsj18",NA,3193.01000976562,NA,1,NA,54,51
NA,NA,NA,NA,NA,NA,NA,NA,NA
"wiwje","vhe99",NA,833.278686523438,NA,2,NA,66,71
"yld2j","jxsdf",8196.6015625,NA,NA,2,46,NA,NA
NA,NA,1217.74340820312,NA,NA,NA,61,NA,NA
"w29y8","d1hcd",NA,NA,NA,1,NA,60,51
NA,NA,NA,NA,NA,NA,NA,NA,NA
"p3f2z","uy9pq",NA,1459.77783203125,1113.31994628906,2,NA,26,28
NA,NA,NA,NA,NA,NA,NA,NA,NA
"opfb9","h8u1g",5488.13720703125,0,NA,2,56,76,NA
"arc3c","qmn6a",NA,722.73095703125,4324.80712890625,1,NA,21.5,23.5
NA,NA,NA,NA,NA,NA,NA,NA,NA
"egrjp","z857z",NA,78.2818145751953,NA,2,NA,50,48.5
NA,"gosdf",NA,4135.33447265625,NA,1,NA,64,NA
"ykdb5","ebdon",NA,NA,NA,1,NA,59,NA
"bhciu","sdj7f",NA,NA,NA,1,NA,42.5,NA
NA,"oyc9i",NA,NA,NA,1,NA,NA,NA
NA,NA,2825.12475585938,NA,NA,NA,31,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"xpo51","rsnfu",NA,8196.6015625,31.766918182373,1,NA,46,53
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ri410",NA,NA,NA,1,NA,NA,NA
"bm6wq","vvemo",4141.2333984375,2296.67236328125,1470.46484375,1,22,54,66
"torxr","ruike",NA,NA,NA,2,NA,19,23
"yfk7y","p30ez",NA,NA,NA,2,NA,61,NA
"bus6f","a0kwx",NA,NA,NA,2,NA,12,22
"egrjp","z857z",NA,78.2818145751953,NA,2,NA,50,48.5
"n7uqz","pg57e",NA,1042.96643066406,NA,1,NA,37,45
"wcfgk","pq8nf",NA,4394.52685546875,4127.46533203125,2,NA,26,49
NA,NA,NA,NA,NA,1,NA,NA,NA
"wcfgk","cz010",NA,2808.53588867188,4127.46533203125,1,NA,46,49
"bhciu","sdj7f",NA,NA,NA,2,NA,42.5,NA
NA,"wnmgs",NA,NA,NA,1,NA,31,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"v73iy","nonnr",NA,3656.29858398438,NA,2,NA,62,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,395.287841796875,NA,NA,NA,8,NA,NA
"xbbuu","a4pbf",NA,NA,NA,1,NA,44,51
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1052.31384277344,NA,NA,NA,31,NA,NA
"jznfw","ldkvs",NA,NA,NA,1,NA,35,41
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"csxsp","p9d69",NA,NA,NA,1,NA,25,33
NA,"mri2v",NA,NA,NA,1,NA,14,NA
"bxt3q","k9t8q",NA,4199.25732421875,NA,2,NA,31,36
"ks0ic","a5bxr",NA,NA,NA,2,NA,74,68
"s41gq","v67ej",NA,NA,NA,2,NA,34,49
NA,"dlcpj",NA,NA,NA,2,NA,35,NA
"arc3c","qmn6a",NA,722.73095703125,4324.80712890625,2,NA,21.5,23.5
"ami7o","ugd0l",NA,NA,NA,2,NA,24,34
NA,NA,NA,NA,NA,NA,NA,NA,NA
"ks0ic",NA,NA,NA,NA,2,NA,NA,68
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,"cczjo",NA,NA,NA,2,NA,NA,NA
"qzvl3","oyp2e",NA,1524.525390625,105.834754943848,2,NA,35,36
"y7018","pg57e",705.355407714844,1042.96643066406,NA,1,8,37,49
"v84tz","ak0mn",NA,NA,NA,2,NA,42,47
"bxt3q","jc18u",NA,NA,NA,2,NA,19,36
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,"d5edk",NA,NA,NA,2,NA,NA,NA
"ubwjx",NA,NA,NA,NA,1,NA,NA,86
"ixnih","z857z",1113.31994628906,78.2818145751953,0,1,28,50,56
"q5h43","tnh9r",NA,NA,NA,1,NA,64,68
NA,NA,0,NA,NA,NA,1,NA,NA
NA,"pg2o3",NA,NA,NA,2,NA,46,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"e19do","izb7u",4324.80712890625,NA,NA,1,23.5,41,45
"tm63m","xj2wk",2406.7333984375,1611.26574707031,NA,1,38.2000007629395,59,66
"hzpkn","pmeh6",NA,2677.84301757812,NA,2,NA,31.5,37
"wlec5","fqdbd",NA,1838.9453125,NA,2,NA,34,42
NA,"ogc8z",NA,NA,NA,2,NA,57.5,NA
"p0cma","f3rxk",NA,NA,NA,1,NA,60,65
"rc10x","a4x4v",NA,NA,NA,2,NA,NA,NA
"nnu2w","x86yw",NA,3493.11254882812,NA,1,NA,14.5,22.3500003814697
NA,NA,NA,NA,NA,1,NA,NA,NA
"t4dt6",NA,NA,NA,1614.49462890625,1,NA,NA,42
"s41gq","v67ej",NA,NA,NA,2,NA,34,49
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,"j8ef3",NA,NA,NA,1,NA,17,NA
"buvob","h31ly",NA,NA,NA,2,NA,67,80
NA,NA,NA,NA,NA,1,NA,NA,NA
"tekry","llssn",NA,NA,NA,2,NA,61,68
NA,NA,NA,NA,NA,NA,NA,NA,NA
"kaiu6","xjlg3",NA,NA,NA,2,NA,21,33
NA,NA,31.766918182373,NA,NA,NA,53,NA,NA
"btcas",NA,NA,NA,NA,1,NA,NA,80
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"zialj",NA,1028.19482421875,NA,2,NA,15.5100002288818,NA
"em53b",NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"o9oo5","m3x5b",NA,NA,NA,1,NA,22,29
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"p3n74","b9vxh",21.8799991607666,2233.65405273438,0,2,6,44.3300018310547,34
NA,NA,NA,NA,NA,NA,NA,NA,NA
"iaf0x","zzetw",NA,3161.51879882812,2981.56762695312,2,NA,44,48
"un2am","lplfz",NA,2129.28271484375,4408.14501953125,2,NA,24,37
"bqvop","cczjo",NA,NA,NA,1,NA,NA,61
NA,"lp42b",NA,NA,NA,2,NA,25,NA
"xbbuu","a4pbf",NA,NA,NA,2,NA,44,51
NA,"yj31r",NA,NA,NA,2,NA,18,NA
"ced8n",NA,NA,NA,NA,1,NA,NA,NA
"otnre","cz010",NA,2808.53588867188,NA,1,NA,46,42
NA,"bpgl7",NA,NA,NA,2,NA,56,NA
"n7uqz","otats",NA,NA,NA,1,NA,33.5,45
"xpo51","oenx4",1754.14147949219,3964.9541015625,31.766918182373,2,18.5,38,53
"iaf0x","oenx4",0,3964.9541015625,2981.56762695312,1,2.5,38,48
"jrhau","ioj6w",NA,NA,NA,1,NA,87,NA
NA,"rg01e",NA,NA,NA,2,NA,NA,NA
"i5ae4","erjmn",NA,NA,NA,1,NA,34,NA
"nnfo6","m5wk4",NA,NA,NA,1,NA,46,45
NA,"mlnzn",NA,NA,NA,2,NA,66,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"idzrg","oyc9i",NA,NA,NA,1,NA,NA,NA
NA,"gn91f",NA,NA,NA,2,NA,63,NA
"o5dw9","lor44",NA,NA,NA,2,NA,42,42
"p3n74","fqot8",NA,1834.91943359375,0,2,NA,31.5,34
"idzrg","oyc9i",NA,NA,NA,2,NA,NA,NA
"asn4w","tv4ae",NA,NA,NA,2,NA,NA,NA
"yfk7y","p30ez",NA,NA,NA,2,NA,61,NA
"otnre","cz010",NA,2808.53588867188,NA,1,NA,46,42
"mmlbr","fd5pb",1050.15539550781,1807.73425292969,NA,2,20,58,68
NA,NA,NA,NA,NA,2,NA,NA,NA
"r9813","h8wk2",NA,NA,NA,1,NA,NA,76
NA,"krz6v",NA,NA,NA,1,NA,75,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"kadhe","bsj18",5370.96826171875,3193.01000976562,NA,2,21.7999992370605,54,51
"ks0ic","a5bxr",NA,NA,NA,2,NA,74,68
"m95ta","n6gsz",NA,NA,NA,2,NA,59,66
NA,"gzcpj",NA,NA,NA,2,NA,25,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"evjer","wcb7x",NA,NA,NA,2,NA,70,NA
NA,NA,0,NA,NA,NA,2.5,NA,NA
"o88r4","itfqa",NA,NA,NA,2,NA,63,56
"egrjp","z857z",NA,78.2818145751953,NA,1,NA,50,48.5
NA,"ytm98",NA,NA,NA,1,NA,36,NA
"ykdb5","ebdon",NA,NA,NA,2,NA,59,NA
"y0jlb","ak0mn",NA,NA,NA,1,NA,42,NA
NA,"hfelb",NA,108.502014160156,NA,2,NA,10,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ujc9d",NA,NA,NA,1,NA,21,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"un2am","lplfz",NA,2129.28271484375,4408.14501953125,1,NA,24,37
"fgshf","rq15a",NA,NA,990.088684082031,2,NA,31,32
"xpo51","vvemo",NA,2296.67236328125,31.766918182373,1,NA,54,53
"nc3w9","pkuih",NA,NA,NA,1,NA,34,4
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"eczym","b3iw8",NA,NA,NA,2,NA,20,25
"w77sb","shfvq",NA,NA,NA,2,NA,NA,NA
"v84tz","ak0mn",NA,NA,NA,2,NA,42,47
"bus6f","a0kwx",NA,NA,NA,2,NA,12,22
NA,NA,NA,NA,NA,1,NA,NA,NA
"s41gq","v67ej",NA,NA,NA,2,NA,34,49
"torxr","ruike",NA,NA,NA,1,NA,19,23
NA,NA,NA,NA,NA,1,NA,NA,NA
"ks0ic","a5bxr",NA,NA,NA,2,NA,74,68
"nc3w9","pkuih",NA,NA,NA,1,NA,34,4
"i0fra","p3mnx",NA,NA,2754.9638671875,2,NA,NA,61
NA,"dlcpj",NA,NA,NA,1,NA,35,NA
"o284l","pzxei",NA,61.3888893127441,NA,1,NA,38,41
"l17fb","ak0mn",NA,NA,NA,1,NA,42,60
"s41gq","otats",NA,NA,NA,2,NA,33.5,49
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"na3u7","sdj7f",NA,NA,NA,2,NA,42.5,50
NA,"ugjlv",NA,NA,NA,2,NA,22,NA
"lrbii","tpc3y",NA,NA,NA,1,NA,57,58
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,"bn7w0",NA,NA,NA,2,NA,47,NA
NA,"uwjqq",NA,NA,NA,2,NA,83,NA
"asn4w","tv4ae",NA,NA,NA,2,NA,NA,NA
"fc5bg","lfevr",NA,NA,NA,1,NA,NA,NA
NA,NA,1560,NA,NA,NA,36,NA,NA
"ucjcs","p1x4b",NA,NA,4434.90478515625,2,NA,36,36
"nnu2w","jei53",NA,NA,NA,2,NA,NA,22.3500003814697
"uf2oz","ogvt8",NA,NA,NA,1,NA,71,NA
"l4048","rj01x",NA,NA,NA,1,NA,30.5,48
NA,NA,NA,NA,NA,NA,NA,NA,NA
"dc668","ifxbn",NA,NA,NA,1,NA,37.5,32
"o9oo5","tgbx9",881.54443359375,4231.89990234375,NA,1,9,28.5599994659424,29
NA,NA,NA,NA,NA,NA,NA,NA,NA
"j9n1j","vb7yq",NA,NA,4565.9912109375,2,NA,41,57
"jrhau","ioj6w",NA,NA,NA,1,NA,87,NA
"s41gq","v67ej",NA,NA,NA,1,NA,34,49
"j01g0","vdy56",997.524475097656,3242.33276367188,NA,2,13.3000001907349,42,50
"yiurd","bk2ju",NA,NA,NA,1,NA,40,53
"ubzm9","fmlt8",NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"m1hr1","b9vxh",3079.54956054688,2233.65405273438,NA,2,23,44.3300018310547,46
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"bhciu",NA,NA,NA,NA,2,NA,NA,NA
"v73iy","nonnr",NA,3656.29858398438,NA,1,NA,62,NA
"btcas",NA,NA,NA,NA,1,NA,NA,80
"kz2g3","ye577",NA,NA,NA,1,NA,33,41
"wcfgk","cz010",547.559997558594,2808.53588867188,4127.46533203125,1,24.5200004577637,46,49
"ynuzi","tgbx9",0,4231.89990234375,409.446563720703,1,0.349999994039536,28.5599994659424,28.5
NA,NA,NA,NA,NA,NA,NA,NA,NA
"b6qtj","vhe99",2498.09619140625,833.278686523438,NA,2,19.3299999237061,66,68
