"fid","mid","kcal","kcalm","kcalf","sex","age","agem","agef"
NA,"wnmgs",NA,NA,NA,2,NA,31,NA
NA,NA,8.30827045440674,NA,NA,NA,4,NA,NA
"ea06n","k2fxt",3656.29858398438,NA,NA,2,62,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"wcfgk","zzetw",0,3161.51879882812,4127.46533203125,2,7,44,49
"oknn7","k9t8q",NA,4199.25732421875,3571.26733398438,1,NA,31,36
"hmio7","l7o5r",NA,3205.93896484375,NA,2,NA,29.25,30
"nvgt8","ry7vc",NA,NA,NA,1,NA,78,86
NA,"nv9zo",3161.51879882812,NA,NA,2,44,67,NA
"madgg","tpc3y",4199.25732421875,NA,NA,2,31,57,75
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"mmlbr","fd5pb",NA,1807.73425292969,NA,1,NA,58,68
NA,"xa89r",NA,NA,NA,1,NA,55,NA
"idzrg","uwhyz",NA,NA,NA,1,NA,66,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,"lmwut",NA,NA,NA,1,NA,35,NA
"wcfgk","cz010",NA,2808.53588867188,4127.46533203125,2,NA,46,49
NA,"bpvps",NA,NA,NA,2,NA,66,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"hsga4","rvmrf",NA,NA,NA,1,NA,40,NA
"arc3c","qmn6a",NA,722.73095703125,4324.80712890625,2,NA,21.5,23.5
"jt8pn","pdm6o",NA,NA,NA,2,NA,51,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"iaf0x","oenx4",NA,3964.9541015625,2981.56762695312,2,NA,38,48
"i5ae4","ukb39",NA,NA,NA,2,NA,26,NA
"yelcr","nufgb",NA,NA,NA,1,NA,58,63
"agwpw","tr8fg",NA,NA,NA,2,NA,46,NA
NA,"lxtrd",NA,NA,NA,2,NA,NA,NA
"na3u7","sdj7f",NA,NA,NA,2,NA,42.5,50
NA,NA,NA,NA,NA,1,NA,NA,NA
"arc3c","qmn6a",NA,722.73095703125,4324.80712890625,2,NA,21.5,23.5
"g62pf",NA,NA,NA,NA,1,NA,NA,41
NA,"bpgl7",NA,NA,NA,1,NA,56,NA
"csxsp","p9d69",NA,NA,NA,1,NA,25,33
"nnu2w","x86yw",NA,3493.11254882812,NA,1,NA,14.5,22.3500003814697
"ami7o",NA,NA,NA,NA,1,NA,NA,34
NA,NA,NA,NA,NA,2,NA,NA,NA
"tekry","llssn",NA,NA,NA,1,NA,61,68
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"ykdb5","ebdon",2883.08935546875,NA,NA,2,31,59,NA
"otnre","iecn7",NA,NA,NA,1,NA,NA,42
"bxfrh","slon8",NA,NA,NA,2,NA,84,NA
"sytcn","ewoy2",NA,NA,NA,2,NA,NA,41
NA,NA,0,NA,NA,NA,18,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"imee6","d2ddc",NA,NA,NA,1,NA,63,70
"v73iy","nonnr",NA,3656.29858398438,NA,1,NA,62,NA
"b6qtj","vhe99",NA,833.278686523438,NA,2,NA,66,68
"ykdb5","ebdon",NA,NA,NA,1,NA,59,NA
"ier1i","drmg9",3193.01000976562,NA,NA,2,53,76,NA
"jjdtc","h31ly",NA,NA,2352.0107421875,2,NA,67,76
"l4048","rj01x",NA,NA,NA,2,NA,30.5,48
NA,"s12bc",NA,NA,NA,1,NA,14,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,"gwgmc",NA,NA,NA,1,NA,18,NA
"y7018","pg57e",NA,1042.96643066406,NA,1,NA,37,49
"xuwsm","z0fx1",NA,369.50537109375,5289.39501953125,2,NA,21.5,28
NA,"tjid4",NA,NA,NA,2,NA,18,NA
NA,"j466d",NA,NA,NA,1,NA,52,NA
NA,"hrd79",NA,NA,NA,2,NA,30,NA
"e19do","izb7u",NA,NA,NA,2,NA,41,45
"kadhe","bsj18",843.028198242188,3193.01000976562,NA,1,20,54,51
"p3f2z","uy9pq",NA,1459.77783203125,1113.31994628906,2,NA,26,28
"p3f2z","uy9pq",NA,1459.77783203125,1113.31994628906,1,NA,26,28
NA,"bpgl7",NA,NA,NA,2,NA,56,NA
"ks0ic","a5bxr",NA,NA,NA,2,NA,74,68
"s41gq","otats",NA,NA,NA,2,NA,33.5,49
NA,NA,NA,NA,NA,NA,NA,NA,NA
"i0fra","p3mnx",NA,NA,2754.9638671875,1,NA,NA,61
NA,NA,NA,NA,NA,NA,NA,NA,NA
"p0cma","f3rxk",NA,NA,NA,2,NA,60,65
NA,"dbw1z",NA,NA,NA,1,NA,50,NA
"tm63m","xj2wk",NA,1611.26574707031,NA,2,NA,59,66
NA,NA,NA,NA,NA,1,NA,NA,NA
"ls30o","yy205",NA,2971.93969726562,2406.7333984375,1,NA,20.5,38.2000007629395
NA,"bpgl7",NA,NA,NA,1,NA,56,NA
"b8jtt","m00gy",NA,3653.23095703125,3012.837890625,2,NA,54,60.5
NA,NA,NA,NA,NA,NA,NA,NA,NA
"q0d3k","bpvps",NA,NA,NA,1,NA,66,43
NA,"rq8ks",NA,NA,NA,2,NA,17,NA
"w29y8","d1hcd",NA,NA,NA,1,NA,60,51
"wqve6","m5wk4",NA,NA,NA,1,NA,46,57.5
"i0fra","p3mnx",NA,NA,2754.9638671875,1,NA,NA,61
NA,"z857z",NA,78.2818145751953,NA,2,NA,50,NA
NA,NA,2841.32397460938,NA,NA,NA,20,NA,NA
"oknn7","k9t8q",0,4199.25732421875,3571.26733398438,1,2,31,36
NA,NA,NA,NA,NA,NA,NA,NA,NA
"ier1i","drmg9",NA,NA,NA,2,NA,76,NA
"g9zkx","gs7nz",NA,NA,NA,2,NA,26,19.3500003814697
NA,NA,0,NA,NA,NA,37,NA,NA
"jml6w","b1aai",NA,NA,NA,1,NA,NA,59
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"falcw",NA,NA,NA,2,NA,63.5,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"kpi19","a0ah6",697.843933105469,NA,NA,2,56,83,86
"n1oih","rgwlr",NA,NA,NA,2,NA,NA,44
NA,NA,3844.80151367188,NA,NA,NA,70,NA,NA
"exlsl","q04di",NA,NA,NA,2,NA,57,61
NA,NA,1359.06750488281,NA,NA,NA,18.4699993133545,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"ea06n","k2fxt",NA,NA,NA,1,NA,NA,NA
"madgg","tpc3y",NA,NA,NA,2,NA,57,75
NA,"xbru1",NA,NA,NA,1,NA,NA,NA
"j01g0","vdy56",NA,3242.33276367188,NA,1,NA,42,50
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"ynuzi","tgbx9",NA,4231.89990234375,409.446563720703,2,NA,28.5599994659424,28.5
NA,"oyc9i",NA,NA,NA,1,NA,NA,NA
"ks0ic","a5bxr",NA,NA,NA,2,NA,74,68
"xpo51","rsnfu",NA,8196.6015625,31.766918182373,2,NA,46,53
NA,"s12bc",NA,NA,NA,1,NA,14,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"h05sr","mge1d",NA,NA,NA,1,NA,17,21.5
"y7018","pg57e",NA,1042.96643066406,NA,2,NA,37,49
"kadhe","bsj18",0,3193.01000976562,NA,2,15,54,51
"yfk7y","p30ez",NA,NA,NA,2,NA,61,NA
"na3u7","sdj7f",NA,NA,NA,2,NA,42.5,50
"iom9u","lmwut",NA,NA,NA,1,NA,35,64
NA,"w2fgm",NA,NA,NA,2,NA,41,NA
"l8uy0","gy4cz",NA,NA,NA,2,NA,66,NA
"ynuzi","tgbx9",NA,4231.89990234375,409.446563720703,1,NA,28.5599994659424,28.5
NA,"otats",NA,NA,NA,2,NA,33.5,NA
"i0fra","p3mnx",NA,NA,2754.9638671875,2,NA,NA,61
NA,NA,476.583984375,NA,NA,NA,14,NA,NA
"yelcr","nufgb",NA,NA,NA,1,NA,58,63
NA,NA,149.306930541992,NA,NA,NA,7,NA,NA
"ku5yo","hrd79",NA,NA,NA,1,NA,30,46
"ks0ic","a5bxr",NA,NA,NA,2,NA,74,68
NA,"r98bl",NA,NA,NA,2,NA,11,NA
NA,NA,4476.65478515625,NA,NA,NA,61,NA,NA
"xyf3r","edm41",NA,NA,NA,2,NA,35,36
NA,"ujc9d",NA,NA,NA,1,NA,21,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"rvmrf",NA,NA,NA,1,NA,40,NA
"ynuzi","tgbx9",NA,4231.89990234375,409.446563720703,1,NA,28.5599994659424,28.5
NA,NA,NA,NA,NA,1,NA,NA,NA
"yiurd","bk2ju",NA,NA,NA,1,NA,40,53
"vc7kn","nt1nz",NA,4137.11083984375,NA,1,NA,32,46
"f5nd8","eetx5",NA,NA,NA,2,NA,NA,NA
"hmio7","l7o5r",NA,3205.93896484375,NA,2,NA,29.25,30
NA,"r45gx",NA,NA,NA,2,NA,50,NA
"na3u7","sdj7f",NA,NA,NA,2,NA,42.5,50
"szoo1","ta2q8",NA,NA,NA,2,NA,15,NA
"evjer","wcb7x",NA,NA,NA,2,NA,70,NA
"or7a2","psauo",NA,NA,NA,2,NA,34,39
"vc7kn","nt1nz",271.274536132812,4137.11083984375,NA,1,7.98999977111816,32,46
"idzrg","oyc9i",NA,NA,NA,1,NA,NA,NA
"jznfw","ldkvs",NA,NA,NA,1,NA,35,41
NA,NA,NA,NA,NA,NA,NA,NA,NA
"s41gq","v67ej",NA,NA,NA,2,NA,34,49
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"b8jtt","gpl9x",NA,NA,3012.837890625,1,NA,64,60.5
"yiurd","fo60j",NA,NA,NA,2,NA,59,53
"o88r4","llkxf",NA,NA,NA,1,NA,71,56
NA,NA,NA,NA,NA,1,NA,NA,NA
"u1w8q",NA,NA,NA,NA,2,NA,NA,36
NA,NA,NA,NA,NA,1,NA,NA,NA
"aan8t","kgeze",NA,1636.31884765625,NA,2,NA,65,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"gvoap","gpb11",NA,NA,NA,2,NA,28.5,NA
"evjer","wcb7x",NA,NA,NA,2,NA,70,NA
"p3n74","fqot8",NA,1834.91943359375,0,1,NA,31.5,34
NA,NA,NA,NA,NA,NA,NA,NA,NA
"un2am","lplfz",NA,2129.28271484375,4408.14501953125,1,NA,24,37
NA,"ogc8z",NA,NA,NA,1,NA,57.5,NA
"ami7o","ugd0l",NA,NA,NA,1,NA,24,34
NA,NA,2168.583984375,NA,NA,NA,76,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"y7018","pg57e",474.976654052734,1042.96643066406,NA,2,17.0300006866455,37,49
"ynuzi","tgbx9",NA,4231.89990234375,409.446563720703,1,NA,28.5599994659424,28.5
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"jt8pn","pdm6o",NA,NA,NA,2,NA,51,NA
"c7uxh","lahp7",NA,NA,NA,1,NA,11,15
NA,NA,NA,NA,NA,1,NA,NA,NA
"h05sr","mge1d",NA,NA,NA,2,NA,17,21.5
"nc3w9","pkuih",NA,NA,NA,1,NA,34,4
"ej4od","uwhyz",NA,NA,NA,1,NA,66,NA
"x5w13","v8cob",NA,NA,NA,2,NA,26,30
"o88r4","itfqa",NA,NA,NA,2,NA,63,56
"bus6f","a0kwx",NA,NA,NA,1,NA,12,22
"e1j1e",NA,NA,NA,NA,2,NA,NA,24
NA,NA,NA,NA,NA,NA,NA,NA,NA
"i5ae4","erjmn",NA,NA,NA,1,NA,34,NA
"o284l","pzxei",NA,61.3888893127441,NA,2,NA,38,41
NA,"b9vxh",NA,2233.65405273438,NA,2,NA,44.3300018310547,NA
"otnre","iecn7",NA,NA,NA,1,NA,NA,42
NA,NA,NA,NA,NA,NA,NA,NA,NA
"ku5yo","hrd79",NA,NA,NA,1,NA,30,46
NA,"fmlt8",NA,NA,NA,2,NA,NA,NA
"kz2g3","ye577",NA,NA,NA,1,NA,33,41
"eiv7x","wbvhf",NA,NA,NA,2,NA,16.5,19.2999992370605
NA,NA,NA,NA,NA,2,NA,NA,NA
"gg2jx","oh3sx",NA,NA,NA,1,NA,NA,NA
"xyf3r","ik6si",NA,NA,NA,2,NA,35,36
"vc7kn","nt1nz",NA,4137.11083984375,NA,2,NA,32,46
"q0d3k","bpvps",NA,NA,NA,1,NA,66,43
NA,NA,NA,NA,NA,1,NA,NA,NA
"w29y8","d1hcd",NA,NA,NA,1,NA,60,51
"ks0ic","a5bxr",NA,NA,NA,2,NA,74,68
NA,NA,NA,NA,NA,NA,NA,NA,NA
"m1hr1","b9vxh",NA,2233.65405273438,NA,2,NA,44.3300018310547,46
"v84tz","ak0mn",NA,NA,NA,2,NA,42,47
"wiwje","vhe99",NA,833.278686523438,NA,2,NA,66,71
"fgshf","rq15a",NA,NA,990.088684082031,2,NA,31,32
"crglo","ugjlv",NA,NA,NA,1,NA,22,27.5
"s41gq","v67ej",NA,NA,NA,2,NA,34,49
NA,NA,NA,NA,NA,NA,NA,NA,NA
"mop1n","h5vfr",NA,NA,NA,1,NA,21,34
NA,"fd5pb",NA,1807.73425292969,NA,1,NA,58,NA
"arc3c","qmn6a",NA,722.73095703125,4324.80712890625,1,NA,21.5,23.5
NA,NA,NA,NA,NA,1,NA,NA,NA
"yelcr","nufgb",NA,NA,NA,2,NA,58,63
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"dc668","ifxbn",NA,NA,NA,2,NA,37.5,32
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"wm4e3","qiwlw",157.744964599609,2068.77661132812,742.187316894531,2,26,54,63
"tekry","llssn",4408.14501953125,NA,NA,1,37,61,68
"gf5oi","oq1g8",3012.837890625,NA,NA,1,59.5,87,NA
"aan8t","kgeze",NA,1636.31884765625,NA,2,NA,65,NA
"s7tsx","gwgmc",NA,NA,NA,2,NA,18,25
"un2am","lplfz",NA,2129.28271484375,4408.14501953125,2,NA,24,37
NA,"rq15a",NA,NA,NA,1,NA,31,NA
NA,"lp42b",NA,NA,NA,2,NA,25,NA
"csxsp","x25rv",NA,157.744964599609,NA,1,NA,26,33
"wlec5","p9d69",NA,NA,NA,1,NA,25,42
NA,NA,NA,NA,NA,1,NA,NA,NA
"l4048","rj01x",NA,NA,NA,1,NA,30.5,48
"tekry","us5tu",NA,NA,NA,1,NA,NA,68
NA,NA,NA,NA,NA,NA,NA,NA,NA
"b6qtj","vhe99",NA,833.278686523438,NA,2,NA,66,68
"torxr","ruike",NA,NA,NA,2,NA,19,23
"rjqc1","xj2wk",NA,1611.26574707031,2261.6064453125,1,NA,59,56
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,"uwhyz",NA,NA,NA,1,NA,66,NA
NA,"mri2v",NA,NA,NA,2,NA,14,NA
"yfk7y","p30ez",NA,NA,NA,2,NA,61,NA
"l4048","rj01x",NA,NA,NA,2,NA,30.5,48
NA,NA,NA,NA,NA,2,NA,NA,NA
"wkqnr","nurj7",NA,NA,1430.69799804688,2,NA,41,33
"bhciu",NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"oy686","jj2yn",NA,NA,NA,2,NA,19.5,22
NA,NA,NA,NA,NA,NA,NA,NA,NA
"b6qtj","vhe99",NA,833.278686523438,NA,2,NA,66,68
"bxt3q","rnpan",NA,NA,NA,2,NA,21,36
"uk5v6","l7e22",NA,NA,NA,2,NA,32,35
NA,NA,NA,NA,NA,1,NA,NA,NA
"jjdtc","fm4oy",NA,NA,2352.0107421875,2,NA,NA,76
"evjer","wcb7x",NA,NA,NA,2,NA,70,NA
"bxhhq","jy5qp",NA,NA,NA,2,NA,35,40.5
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ii1qm",NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"etb8g","n3tbx",NA,NA,NA,2,NA,59,NA
"iaf0x","zzetw",NA,3161.51879882812,2981.56762695312,2,NA,44,48
NA,NA,NA,NA,NA,NA,NA,NA,NA
"cx2kq","q1dtv",NA,474.976654052734,NA,1,NA,17.0300006866455,18
"oy686","jj2yn",NA,NA,NA,2,NA,19.5,22
NA,NA,NA,NA,NA,NA,NA,NA,NA
"xbbuu","a4pbf",NA,NA,NA,2,NA,44,51
NA,"r98bl",NA,NA,NA,1,NA,11,NA
"b6qtj","vhe99",NA,833.278686523438,NA,1,NA,66,68
"arc3c","qmn6a",NA,722.73095703125,4324.80712890625,2,NA,21.5,23.5
"vc7kn","nt1nz",NA,4137.11083984375,NA,1,NA,32,46
"crglo","ugjlv",NA,NA,NA,2,NA,22,27.5
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"ku5yo","hrd79",NA,NA,NA,2,NA,30,46
"e19do","izb7u",NA,NA,NA,1,NA,41,45
"wm4e3","tnh9r",NA,NA,742.187316894531,2,NA,64,63
NA,NA,NA,NA,NA,2,NA,NA,NA
"madgg","tpc3y",0,NA,NA,1,15,57,75
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"dbw1z",NA,NA,NA,1,NA,50,NA
"o9oo5","tgbx9",NA,4231.89990234375,NA,1,NA,28.5599994659424,29
"nnu2w","jei53",NA,NA,NA,2,NA,NA,22.3500003814697
NA,"yj31r",NA,NA,NA,1,NA,18,NA
NA,"hdrb1",NA,NA,NA,1,NA,27,NA
"o9oo5","tgbx9",NA,4231.89990234375,NA,1,NA,28.5599994659424,29
"uf2oz","ogvt8",NA,NA,NA,1,NA,71,NA
"xbbuu","a4pbf",NA,NA,NA,2,NA,44,51
"ni94m","mmbnq",NA,NA,NA,1,NA,15,17
"dc668","ifxbn",NA,NA,NA,2,NA,37.5,32
"s41gq","v67ej",NA,NA,NA,1,NA,34,49
NA,"y8oqd",NA,NA,NA,2,NA,20,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"m95ta","n6gsz",NA,NA,NA,2,NA,59,66
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ut69g",NA,NA,NA,2,NA,20.3299999237061,NA
"aan8t","kgeze",NA,1636.31884765625,NA,2,NA,65,NA
NA,NA,1890.76525878906,NA,NA,NA,12,NA,NA
"kx4f4","mh29l",NA,4378.634765625,NA,2,NA,65,72
NA,"yz0dy",NA,697.843933105469,NA,1,NA,57,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"bhciu","erjmn",NA,NA,NA,2,NA,34,NA
"egrjp","z857z",NA,78.2818145751953,NA,1,NA,50,48.5
NA,NA,NA,NA,NA,2,NA,NA,NA
"madgg","tpc3y",NA,NA,NA,2,NA,57,75
"bm6wq","vvemo",NA,2296.67236328125,1470.46484375,2,NA,54,66
"xyf3r","ik6si",NA,NA,NA,1,NA,35,36
"un2am","lplfz",NA,2129.28271484375,4408.14501953125,1,NA,24,37
"q5h43","fm4oy",NA,NA,NA,2,NA,NA,68
NA,NA,NA,NA,NA,NA,NA,NA,NA
"pqbdh","nv9zo",NA,NA,NA,1,NA,67,76
NA,NA,NA,NA,NA,1,NA,NA,NA
"isbim","t4jeq",742.187316894531,NA,NA,1,63,86,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"ami7o","ugd0l",NA,NA,NA,1,NA,24,34
"dvb3a","iax7l",NA,NA,NA,1,NA,47,56
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,"m0qji",NA,NA,NA,1,NA,27,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"cx2kq","q1dtv",NA,474.976654052734,NA,1,NA,17.0300006866455,18
"vc7kn","nt1nz",NA,4137.11083984375,NA,1,NA,32,46
NA,NA,1087.00891113281,NA,NA,NA,14,NA,NA
"arc3c","qmn6a",NA,722.73095703125,4324.80712890625,2,NA,21.5,23.5
"xuwsm","z0fx1",NA,369.50537109375,5289.39501953125,2,NA,21.5,28
NA,NA,NA,NA,NA,NA,NA,NA,NA
"he4si","z5n4h",NA,NA,NA,2,NA,40,84
"ynuzi","tgbx9",NA,4231.89990234375,409.446563720703,1,NA,28.5599994659424,28.5
"i0fra","p3mnx",4231.89990234375,NA,2754.9638671875,2,27.5599994659424,NA,61
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"aenht","zhzqy",NA,2481.63989257812,7886.14990234375,1,NA,49,56
NA,NA,NA,NA,NA,NA,NA,NA,NA
"yld2j","jxsdf",2233.65405273438,NA,NA,2,44.3300018310547,NA,NA
"xyf3r","ik6si",NA,NA,NA,1,NA,35,36
NA,NA,NA,NA,NA,NA,NA,NA,NA
"qw63x","ii1qm",4378.634765625,NA,NA,2,64,NA,NA
NA,"wf3wl",NA,NA,NA,2,NA,87,NA
"ls30o","yy205",NA,2971.93969726562,2406.7333984375,2,NA,20.5,38.2000007629395
NA,"krz6v",NA,NA,NA,1,NA,75,NA
"o9oo5","m3x5b",NA,NA,NA,1,NA,22,29
"xuwsm","z0fx1",0,369.50537109375,5289.39501953125,2,-0.819999992847443,21.5,28
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,1620.43237304688,NA,NA,NA,80,NA,NA
"jjdtc","bepky",NA,5488.13720703125,2352.0107421875,2,NA,57,76
"l4048","rj01x",NA,NA,NA,2,NA,30.5,48
"wcfgk","cz010",NA,2808.53588867188,4127.46533203125,2,NA,46,49
