"id","fid","mid","weight","weightf","weightm","sex","age","agem","agef"
"p65sa",NA,NA,NA,NA,NA,2,5,NA,NA
"bw1hz","t1yui","ov2pt",51.7999992370605,57.7000007629395,42.4000015258789,2,25.5,56,64
"k97p6","qmk6b","gaf6d",38.7999992370605,56.7000007629395,37,1,14,40,38
"ah9g8","oxe26","tj1v8",41,NA,43,2,29,60,NA
"tkspb",NA,"wb7nh",15,NA,44,2,6,34,NA
"z40th","kfs0n","u3dgy",49.0999984741211,56.9000015258789,45.7999992370605,2,27,51,55
"ddyw7",NA,"h96ai",57.7999992370605,NA,NA,2,21.5,NA,NA
"d7ava",NA,"h96ai",56.9000015258789,NA,NA,2,25,NA,NA
"hyfj0","ttidj","m3aaq",45.5999984741211,NA,35,2,40.5,75,NA
"cv07z",NA,"a5a5g",55.2000007629395,NA,NA,1,37,NA,NA
"uxj6x",NA,"xbduo",NA,NA,NA,2,24,53,NA
"ec9q4","q9s88","qdrgy",14,55.9000015258789,52.7999992370605,1,4.5,37,42
"wlj2v","jwc5c","hysjj",11,53,48,1,3.5,24,26
"xrzxm","speez","qhm6p",48.0999984741211,39.7000007629395,46,2,27,61,59
"e1dix","iyvkv","cbgcv",44,NA,47.5999984741211,2,52,71,NA
"btmrl","cakgx","cbgcv",42.4000015258789,NA,47.5999984741211,2,56,71,NA
"kjfcn","rvoo9","jysjd",54.2999992370605,NA,39,1,20.5400009155273,34,NA
"rcv6t","yqe7f","dy6ws",43.5,NA,NA,2,33.5,NA,NA
"w939n","ysya8","hmyv0",54,48,46,1,21.5,46,54
"g1y3w","qfzxe","hr1qq",63.0999984741211,NA,54.4000015258789,1,45,60,NA
"r4k33","z385k",NA,40.5999984741211,NA,NA,2,72,NA,NA
"fmj3o","d28l5","ejh61",43,NA,NA,2,76,NA,NA
"vrxca","fvt0z","u2n8m",54,47,NA,1,30.5,NA,77
"qbopr","l3dzx","l4r6t",NA,NA,NA,2,47,NA,NA
"vroba","tugj6","ou38n",17,54.2000007629395,38,1,7,40,41
"oyxsz",NA,NA,49,NA,NA,2,19,NA,NA
"wcvso","idytr","vc9al",45.2000007629395,46.5,40.5999984741211,2,37,72,81
"ygkz8",NA,"wknyg",17,NA,NA,1,6,NA,NA
"wrtao","kfs0n","imrwf",NA,56.9000015258789,33.4000015258789,2,6.78000020980835,34,55
"v730q","x7jtl","lrxxq",22.2999992370605,49,NA,1,7.5,NA,44
"ikxz1","mf1ex","yjhjf",48.0999984741211,NA,34,2,27.5,56,NA
"gt3lc",NA,NA,60.5,NA,NA,2,40,NA,NA
"nrrhr","rybra","z689b",20,48,45.5999984741211,2,9.75,40.5,58
"mp6xj","ox6il","d6icy",NA,61,45,2,0.5,31.5,33.5
"o0swc","idytr","vc9al",48,46.5,40.5999984741211,1,54,72,81
"dys5s",NA,NA,57.7000007629395,NA,NA,1,29,NA,NA
"vayf7","dqhms","xyb6y",NA,53.5999984741211,54.5,2,0.670000016689301,21.5,24.2999992370605
"wcset","bowdn","yylr7",45.5999984741211,59.7999992370605,49.7000007629395,1,17,63,68
"mzdy2",NA,NA,55.4000015258789,NA,NA,2,33.5,NA,NA
"icsft","fj0yz","kghbn",14.5,NA,NA,2,4,NA,NA
"a1245","a4z7g","uhugq",NA,52,37,1,1.5,39,47
"m2bhz",NA,NA,13.3000001907349,NA,NA,2,5,NA,NA
"x8rtn","h5k73","beca5",14,53,55.0999984741211,2,7,27.5,47.2000007629395
"sltgn","v0d8y","bq3j3",52,NA,39,1,31,69,NA
"jwhms",NA,"u8v0t",45.7999992370605,NA,NA,2,51,NA,NA
"s64gy","pa34o","x57vz",42,NA,NA,2,29,NA,NA
"sm0z4","zwf7o","j3ul6",31.7999992370605,61.4000015258789,44.2000007629395,2,11.8000001907349,55,62
"zg28j","muvwe","kn9e3",46,NA,NA,2,69,NA,NA
"qeix7","kfs0n","xe44s",54.0999984741211,56.9000015258789,53.7000007629395,1,31.5200004577637,54,55
"rsggf","kezlt","yx52i",61.4000015258789,NA,NA,1,62,NA,NA
"nmx8l","fobbb","d63f7",36.5999984741211,NA,NA,2,65,NA,NA
"ppdvg","f3z9i","hqs80",9.19999980926514,49.7999992370605,41.5999984741211,1,2,41,46
"hdzd0","zwf7o","j3ul6",22,61.4000015258789,44.2000007629395,1,9.5,55,62
"l5oj7",NA,NA,60.4000015258789,NA,NA,2,71,NA,NA
"no7mp","s96pu","imrwf",25.7000007629395,50.2000007629395,33.4000015258789,1,12.75,34,43
"ij3rf","zwf7o","j3ul6",57.7000007629395,61.4000015258789,44.2000007629395,1,30.5,55,62
"xb42q",NA,"gaf6d",29,NA,37,1,14,40,NA
"unsbr","gdbdo","fhhtb",7,64,51,1,0.579999983310699,20,24
"jjllw","d9ccr","dq5o2",47.5999984741211,NA,NA,1,71,NA,NA
"vmt8h","ptw7p","ujmtm",49,NA,42,2,48,72,NA
"i1zmx","pbqp1","qaf7b",19,63,55,1,7,35,37
"zdsu5","ysya8","hmyv0",31,48,46,1,13.75,46,54
"klvb8","bbz5w","jfoi9",47,NA,NA,2,26,NA,NA
"q99r1","kezlt","yx52i",43.0999984741211,NA,NA,2,63,NA,NA
"q3hc9","wtdr5","za0wc",16.7999992370605,55,38.4000015258789,2,6.38000011444092,27,35
"hofiw",NA,"xya1w",17,NA,NA,1,8,NA,NA
"n0dua","ea5cn","qc0oo",61,53,48,1,33.5,51,55
"z9qfc","nvmon","wubzr",48,NA,NA,2,51,NA,NA
"xxcpf",NA,NA,54.7999992370605,NA,NA,1,60,NA,NA
"wfaqb",NA,"xyv4c",10.8999996185303,NA,NA,2,4.5,NA,NA
"t124x",NA,"g1z7b",NA,NA,NA,2,20,62.5,NA
"olsng",NA,"li7mh",32.2000007629395,NA,NA,2,75,NA,NA
"hb51e","qmk6b","gaf6d",20,56.7000007629395,37,1,5,40,38
"z18oi","lfftc","xw34q",8,58,46,1,1,30,43
"k0ozg",NA,NA,65.9000015258789,NA,NA,1,29,NA,NA
"y7st6",NA,"c7xjg",50.7000007629395,NA,NA,2,59,NA,NA
"cjyfy","ywkqd","vgkp0",57,56.2999992370605,NA,1,32.5,NA,55
"eqncf","muvwe",NA,NA,NA,NA,2,80,NA,NA
"fodk9","idytr","vc9al",37,46.5,40.5999984741211,2,40,72,81
"n8mtu","a7s7y","prg41",55.5,52,NA,1,40,NA,74
"ckix8",NA,"jkglv",45,NA,NA,2,65,NA,NA
"sk1c4","wyfn0","jysjd",NA,46,39,2,0.75,34,42
"h9q47","hhuhn","onitx",30.7999992370605,51,52.9000015258789,2,12.5,55,54.5
"dpgn5","p26v4","d7f7x",14.1999998092651,47.7999992370605,55.5999984741211,1,4,22,29
"jjwyf",NA,"b3xwy",NA,NA,NA,1,20,NA,NA
"ujxs1","y2sty","uluhr",53,NA,40,1,39,80,NA
"y0wwj","yu0he","mz207",52,NA,NA,1,47,NA,NA
"i0p69","hify0","ne8a5",24.5,NA,49.0999984741211,1,11,40,NA
"fqzt7","ggpxi","nwuha",45.2000007629395,49.7999992370605,NA,1,22.5,NA,62.5
"rgpp1","po2le","ocn8u",10.1999998092651,56,36,1,3.5,43,56
"sfnc1","j1mtn",NA,72,NA,NA,1,34,NA,NA
"bp8yo",NA,"p6cks",25,NA,49.0999984741211,1,11,27,NA
"g06sy","xrqk6","eu9p8",46.9000015258789,43,42.5999984741211,1,22,46,62
"wbow9","d9ccr","dq5o2",47.2999992370605,NA,NA,2,50,NA,NA
"m5wqx","rjfo6","jqr5t",13.8000001907349,NA,54,2,5,35,NA
"i2qtj","xwq5s","wlbms",32,46,54.4000015258789,1,10,33,28.3500003814697
"taxzu",NA,"q5qdf",35,NA,NA,2,78,NA,NA
"k8r6n","ysya8","hmyv0",47,48,46,1,23.5,46,54
"qpmsh","v0d8y","yi0rj",44,NA,NA,1,17,NA,NA
"xets4","d3fdh","kffgo",24.6000003814697,NA,43.5,2,10,33.5,NA
"t95xa","aku6h","uk9c3",12.6000003814697,47,50,2,2,28.1000003814697,50
"dmw8j","tnae8","bpqho",39,47,NA,2,38.560001373291,NA,71
"hj08t","vvak7","cvno1",10,49,45,1,2.75,43,41.5
"vrn1e","k79n7","z9j4p",54.2000007629395,NA,NA,1,41,NA,NA
"vfkna",NA,"d047n",59.4000015258789,NA,38.7000007629395,1,35.5,66,NA
"yppep","p1wc4","zzfd0",42,NA,NA,2,72,NA,NA
"vfd6k",NA,NA,49.7999992370605,NA,NA,1,62.5,NA,NA
"zg4kd","bbz5w","beq3y",54.4000015258789,NA,NA,2,33,NA,NA
"cj8v3","lfftc","xw34q",13,58,46,1,3.25,30,43
"cgtjp","cyw4a","ja4wl",9,52,53,2,1.25,25,26.5
"jcih2","dbaiw","askb7",62.2000007629395,NA,44.7000007629395,1,20,50.3300018310547,NA
"y1rni","fvt0z","u2n8m",52,47,NA,1,46,NA,77
"jmkms","cyw4a","q986h",17,52,62,2,8,30.5,26.5
"ylyif",NA,NA,48,NA,NA,1,49,NA,NA
"ehwas",NA,NA,NA,NA,NA,1,65,NA,NA
"g5u3o","a4z7g","uhugq",19.8999996185303,52,37,2,8.82999992370605,39,47
"hbexl","xxjos",NA,52,66.5,NA,1,16,NA,32.5
"ie55p","p9sqb","yx8uq",52,NA,NA,1,55,NA,NA
"hsk5h","qsctc","gdu7r",16,NA,50,2,6,22,32
"unhj6","l8ycn","e7fj6",44.9000015258789,50.0999984741211,NA,2,38,NA,68
"h8qfq","f76kq","t7kvf",14,48,41,1,5,26.0300006866455,27
"xtla0","bbz5w","beq3y",42.4000015258789,NA,NA,2,38,NA,NA
"vyq4r","kxgpq","sxiby",47.7000007629395,NA,NA,1,68,NA,NA
"sbmdi",NA,"csdu0",39,NA,NA,2,69,NA,NA
"cc41z","ere30","qegw2",30,52,49,1,11.6700000762939,34,46
"xp1ay",NA,"zpj90",51.7999992370605,NA,40,2,42.5,72.5,NA
"y7sjf","py02x","gnwlg",58,NA,50,1,39,81,NA
"vrhit",NA,"gaf6d",23.7000007629395,NA,37,1,8,40,NA
"o8gwz",NA,"bkys1",32.5,NA,NA,2,14.5,31,NA
"z362h","wlpmf","mli0b",45.7999992370605,54.9000015258789,NA,2,43,NA,64
"agojl",NA,"k1qb5",NA,NA,NA,1,22,32.5,NA
"ke2gz","up89p","dm9ld",53.7000007629395,NA,41,2,54,75,NA
"mh8cg","tgk6r","u8v0t",56.9000015258789,NA,NA,1,55,NA,NA
"gdyhd","qpzoa","uwggs",66.5,NA,NA,1,32.5,NA,NA
"l0fk6","k8yi0","ri0wj",38.7000007629395,NA,NA,2,66,NA,NA
"nafw8","pg81n","u3dgy",53,52,45.7999992370605,2,25,51,55
"bk7lt","jn2vw","szmx3",46.9000015258789,NA,NA,2,64,NA,NA
"b3kr0","hhuhn","onitx",42.4000015258789,51,52.9000015258789,1,17,55,54.5
"h9brg","gctbt","b819o",14,51,44,1,5,24.5,31.3500003814697
"jd8oa","lhu5g","dlqd1",44.7000007629395,41,47,1,29,63,75
"khut3","qizki","o9cr0",48.5,NA,33.9000015258789,2,27,56,NA
"hi41y",NA,"yi0rj",52,NA,NA,1,29,NA,NA
"ujp0s","bbz5w","beq3y",50.2000007629395,NA,NA,1,43,NA,NA
"scvmx","xxjos","f6n72",NA,66.5,56,2,0.0199999995529652,31,32.5
"flgps","c1qwa","f9agb",14.6999998092651,NA,NA,1,5.5,NA,NA
"wwn8v","pndwx","yvtwq",51,NA,39,1,31.3500003814697,69,NA
"fvcmi","dqhms","xyb6y",14.1999998092651,53.5999984741211,54.5,2,5.25,21.5,24.2999992370605
"zesuy",NA,NA,NA,NA,NA,1,NA,NA,NA
"b5c80","cyw4a","ja4wl",11.8000001907349,52,53,1,2.5,25,26.5
"u18km",NA,NA,6,NA,NA,2,2,NA,NA
"z3wqn",NA,NA,55,NA,NA,1,54,NA,NA
"j8q7h",NA,"nt880",NA,NA,39,2,3,41,NA
"hjv09",NA,NA,58.9000015258789,NA,NA,1,36,NA,NA
"zcx59","m7ddo","yzn1i",NA,NA,NA,1,42,NA,NA
"x3vtp",NA,NA,56.5999984741211,NA,NA,1,62,NA,NA
"hi5r6","im7st","ejh61",46.5,NA,NA,1,81,NA,NA
"optz0",NA,NA,43.2000007629395,NA,NA,2,30,NA,NA
"e91ev","meptq","zr3ce",40.5999984741211,NA,43.0999984741211,2,39,66,NA
"eldov","idytr","gv4qy",33.4000015258789,46.5,36.5999984741211,2,34,65,81
"cle8b","j1mtn",NA,54.9000015258789,NA,NA,1,21,NA,NA
"h1okd","jsuka","tde3k",16.3999996185303,52.7000007629395,48.0999984741211,1,6.5,27.5,30
"xnlin",NA,"hlc5y",NA,NA,NA,1,5,20,NA
"kz14j","gf90z","ainge",62.0999984741211,NA,NA,1,66.5,NA,NA
"wavp9","ahugv","hr1qq",50.7000007629395,62.0999984741211,54.4000015258789,2,30,60,66.5
"q7z5i","bowdn","yylr7",52.2999992370605,59.7999992370605,49.7000007629395,1,40,63,68
"bu3vo",NA,"g1z7b",NA,NA,NA,2,37.5,62.5,NA
"d5wz5",NA,"mb1i7",17.2000007629395,NA,41,2,5.5,29,NA
"b63ud",NA,NA,NA,NA,NA,1,7,NA,NA
"wwq8l","pndwx","yvtwq",52,NA,39,1,25,69,NA
"jdplz","f3z9i","hqs80",35.2000007629395,49.7999992370605,41.5999984741211,2,17,41,46
"kjmwg","eo734","jje3l",45.5999984741211,NA,NA,2,21,NA,NA
"lsjmt","q7l4v","bxi1f",39,NA,NA,2,34,NA,NA
"pd38t","d9ccr","dq5o2",44.2000007629395,NA,NA,2,55,NA,NA
"kzhe9","jsuka","tde3k",16.2999992370605,52.7000007629395,48.0999984741211,1,5,27.5,30
"qxd2o","qcy9w","omq3f",57.7000007629395,NA,NA,1,64,NA,NA
"ji532","nv1z6",NA,43.0999984741211,NA,NA,2,66,NA,NA
"dpfui","kezlt","yx52i",51.4000015258789,NA,NA,2,54,NA,NA
"n7ltq","l3dzx","l4r6t",49.0999984741211,NA,NA,1,42,NA,NA
"f1pp2","tvv3g","grolk",55.0999984741211,46.5,45.9000015258789,2,27.5,49,57
"vp0f8",NA,"z00vl",58,NA,NA,1,43,NA,NA
"ffq6y","c46fx","huukx",44,NA,49,2,24.5,48,NA
"i5s1w",NA,NA,41.5,NA,NA,2,65,NA,NA
"l4wp2","fvt0z","tx3ru",44,47,NA,1,52,NA,77
"evciy",NA,"jyic6",46.2999992370605,NA,NA,2,28,NA,NA
"hhdmn",NA,"ayiqc",41,NA,NA,2,75,NA,NA
"idunr","wsd1b","ns0at",11,52,52,1,2.5,20,21.6800003051758
"xpb2m","mpz15","v3thv",52,NA,44.0999984741211,1,21.6800003051758,66,NA
"yvw5e",NA,NA,49.0999984741211,NA,NA,2,35,NA,NA
"nrv74",NA,"imrwf",12.1000003814697,NA,33.4000015258789,2,3.55999994277954,34,NA
"rhqbl",NA,"mb1i7",29,NA,41,1,10,29,NA
"h0tj6","ulj5b","uyvui",20,46,43,2,7.46999979019165,33,43
"m485a",NA,"ikc5l",NA,NA,44.2999992370605,2,0.0799999982118607,18,NA
"wex20",NA,NA,48.7999992370605,NA,NA,1,46,NA,NA
"bygp3","baagb","uhugq",32,NA,37,2,23,39,NA
"dlikv","aku6h","uk9c3",14,47,50,1,3,28.1000003814697,50
"ynzvb","r8kjk","eu9p8",44.7999992370605,52,42.5999984741211,2,26,46,74
"js5jh",NA,NA,16.2999992370605,NA,NA,2,7,NA,NA
"joy6n","nv1z6",NA,54.9000015258789,NA,NA,1,64,NA,NA
"x4gkm","buzbj","hcjnx",NA,57,NA,2,3.5,NA,57
"zq2k9",NA,"eycii",23,NA,NA,1,9,40,NA
"s031p",NA,NA,67,NA,NA,1,47,NA,NA
"t0plt","da2m5","njil3",13,57,39,2,7,38.560001373291,37.5
"dq2k9",NA,"oj2y4",47,NA,NA,2,41,NA,NA
"i1sii","f76kq","t7kvf",10,48,41,1,2,26.0300006866455,27
"r4rgr",NA,"zrnic",37,NA,NA,1,71,NA,NA
"r2ie3","p1wc4","zzfd0",47,NA,NA,1,71,NA,NA
"dz7e2","vysez","hmyv0",18.1000003814697,63.5,46,2,8,46,42
"iipmx",NA,"h96ai",58.2000007629395,NA,NA,1,25,NA,NA
"ioykk",NA,"lut4b",NA,NA,52.0999984741211,2,5,30,NA
"m7aho","ere30","qegw2",37,52,49,2,14.8299999237061,34,46
"n600n","zf9o9","qgz8u",38.4000015258789,NA,NA,1,61,NA,NA
"yr0fr",NA,NA,59.5999984741211,NA,NA,2,28,NA,NA
"wc1z1","oxe26","tj1v8",56,NA,43,2,31,60,NA
"l4wp2","fvt0z","tx3ru",44.2999992370605,47,NA,1,48,NA,77
"dud3s",NA,"z9j4p",43,NA,NA,1,53,NA,NA
"nmpu0","px494","aaxb7",15.3999996185303,NA,NA,1,5.5,NA,NA
"am5hv","jn2vw","szmx3",56.2999992370605,NA,NA,1,55,NA,NA
"j3gc3","o5l2n","j744c",16.1000003814697,57,59,2,6.5,46.5,41
"hsfjb","s629m","rwegr",64,NA,46,1,24,49,NA
"dhgvx","wpv0m","oqjue",51,49,NA,1,37.75,NA,65
"argd9",NA,NA,52,NA,NA,1,74,NA,NA
"v6npc","fa25g","aa77q",57,NA,NA,2,46,NA,NA
"f9lm7","snhpy","vhqg5",20,46.5999984741211,NA,2,8,NA,49
"k90xt",NA,NA,39.2000007629395,NA,NA,2,30,NA,NA
"tfnfl",NA,"tbcqd",NA,NA,50,2,4,39,NA
"lmrdb",NA,"f3ytb",14,NA,50.0999984741211,1,4,23,NA
"xutc6",NA,NA,70.6999969482422,NA,NA,2,42.5,NA,NA
"g1pzd",NA,"f3ytb",16,NA,50.0999984741211,2,9,23,NA
"kzhey","hify0","ne8a5",18.7000007629395,NA,49.0999984741211,2,7.5,40,NA
"bnwb4",NA,NA,59.7999992370605,NA,NA,1,33,NA,NA
"kp38a","bbz5w","beq3y",42,NA,NA,2,25,NA,NA
"dg1nz",NA,"szqld",NA,NA,NA,1,30,20,NA
"rjol6",NA,"srfuy",47.7999992370605,NA,NA,1,56,NA,NA
"qeo12","cakgx","cbgcv",54.9000015258789,NA,47.5999984741211,2,40,71,NA
"kguul",NA,"ne8a5",28.2000007629395,NA,49.0999984741211,1,8,40,NA
"jdqhy","hj1hk","t49p0",52.0999984741211,NA,NA,1,41,NA,NA
"vftph","gctbt","r9fbe",21,51,NA,2,11,NA,31.3500003814697
"kjgbm","c1qwa","usnnv",NA,NA,50.7999992370605,2,4,40,NA
"pmgdc","f3z9i","hqs80",31,49.7999992370605,41.5999984741211,1,15,41,46
"dvu82",NA,"p2bin",NA,NA,40.9000015258789,2,0.170000001788139,20.5100002288818,NA
"tidcy","hvi4d","fuv3v",48.2999992370605,NA,45,1,18,44,NA
"ugibs",NA,"jtjnb",58.5,NA,NA,1,18,NA,NA
"jysck","kfgcy","hnr8o",38,NA,46.9000015258789,2,44,64,NA
"pu4hi",NA,"ompdv",33.7000007629395,NA,57,1,13.1700000762939,46,NA
"z82al",NA,NA,NA,NA,NA,2,55,NA,NA
"l2wn8","idytr","gv4qy",44.5999984741211,46.5,36.5999984741211,2,30.25,65,81
"mdtyc",NA,"ithht",56,NA,NA,2,18.5,NA,NA
"jpbh8",NA,NA,37.2000007629395,NA,NA,2,70,NA,NA
"xgi3d",NA,"p2awk",48.2000007629395,NA,NA,2,67.5,NA,NA
"nzs52",NA,"usnnv",23.7000007629395,NA,50.7999992370605,2,8,40,NA
"r29tw","k8yi0","nq7p8",56,NA,NA,1,56,NA,NA
"b8i90","khri9","epwz5",49,NA,NA,1,52,NA,NA
"jerpp","pg81n","huukx",15.1000003814697,52,49,2,7,48,55
"rabqv","jaaft","hmyv0",9,56,46,1,2,46,54
"tf7x6","a4z7g","uhugq",14.1000003814697,52,37,1,5,39,47
"v3qyi","ysya8","zi61s",41.9000015258789,48,NA,2,24.1000003814697,NA,54
"upkwq","k8yi0","ri0wj",39.7000007629395,NA,NA,1,59,NA,NA
"ap72h","qot5w","u6sfb",6,52.0999984741211,42,2,0.579999983310699,20.5,22
"cbbn3",NA,NA,46,NA,NA,2,70,NA,NA
"cai8c",NA,NA,62.7000007629395,NA,NA,1,30,NA,NA
"cavus",NA,NA,24.2000007629395,NA,NA,1,9,NA,NA
"nr4o8","ztfn0","jt2cc",15.1000003814697,54.0999984741211,50.0999984741211,2,5.5,25.3299999237061,31.5200004577637
"ktazn",NA,NA,48.2000007629395,NA,NA,2,22,NA,NA
"fb4qp","f60ka","ocvbc",20.2000007629395,61.5999984741211,38.7999992370605,2,7,48,50
"fvmu1","clwrj","hydq4",NA,55.0999984741211,50.5,2,0.150000005960464,36.5,39
"wmhpv","tnae8","afc3k",44,47,NA,2,38,NA,71
"svovf","da2m5","njil3",27,57,39,1,11.3500003814697,38.560001373291,37.5
"y0g33","qcy9w","omq3f",44.7000007629395,NA,NA,2,50.3300018310547,NA,NA
"p101v",NA,NA,26.2999992370605,NA,NA,1,8.5,NA,NA
"mdyi9",NA,"w90ng",49,NA,45,1,39,65,NA
"ndxng",NA,"tj1v8",34.0999984741211,NA,43,2,19,60,NA
"j2fd4","iv9pi","k4mej",49.4000015258789,NA,39.7000007629395,1,39,62.5,NA
"rcwns","po2le","hidwv",56,56,54,2,34,42.5,56
"gve86","f60ka","pb5ok",51,61.5999984741211,NA,2,20,NA,50
"dvnl4",NA,"kobex",55.5999984741211,NA,NA,1,26,NA,NA
"abt37","lhu5g","dlqd1",52.7999992370605,41,47,2,37,63,75
"h3x79","hubwk","ptufm",13.3999996185303,56.7000007629395,40,2,4,31,31
"w62ud","al4ah","sd299",47.7999992370605,47.5999984741211,NA,1,29,NA,71
