"male","outdegp","indegp","indeg","outdeg","age","agetodayf","agetodaym","ageatdeathf","ageatdeathm","fid","mid"
1,NA,NA,9,14,59.4799995422363,NA,NA,NA,NA,NA,NA
0,NA,NA,12,13,59.0699996948242,NA,NA,NA,NA,NA,NA
1,NA,NA,11,2,75.2399978637695,NA,NA,NA,NA,NA,NA
0,NA,NA,9,14,52.439998626709,NA,NA,NA,NA,NA,NA
1,NA,NA,11,12,66.4899978637695,NA,NA,NA,NA,NA,NA
0,NA,NA,13,18,31.1299991607666,NA,NA,NA,NA,NA,NA
1,NA,NA,6,2,46.0499992370605,NA,NA,NA,NA,NA,NA
1,NA,NA,11,9,64.2300033569336,NA,NA,NA,NA,NA,NA
0,NA,NA,10,14,23.3700008392334,NA,NA,NA,NA,NA,NA
0,1,9,8,11,50.5699996948242,75.0699996948242,81.620002746582,71,NA,"lnkmq","rhexx"
1,12,10,10,4,33.1599998474121,67.7699966430664,61.3899993896484,NA,NA,"t634i","i7igx"
1,NA,NA,9,13,64.6100006103516,NA,NA,NA,NA,NA,NA
1,NA,NA,6,8,60.7000007629395,NA,NA,NA,NA,NA,NA
1,NA,NA,16,18,63.2099990844727,NA,NA,NA,NA,NA,NA
1,NA,NA,15,19,49.4199981689453,NA,NA,NA,NA,NA,NA
1,NA,NA,6,8,69.9899978637695,NA,NA,NA,NA,NA,NA
0,17,12,6,2,44.3199996948242,66.6500015258789,65.6800003051758,NA,NA,"dacdl","ezehb"
0,NA,NA,4,0,40.5200004577637,NA,NA,NA,NA,NA,NA
1,12,14,5,9,24.1800003051758,64.9199981689453,50.3400001525879,NA,NA,"g7qmh","n3f7e"
0,NA,NA,5,0,50.0200004577637,NA,NA,NA,NA,NA,NA
1,NA,NA,4,7,70,NA,NA,NA,NA,NA,NA
0,17,19,11,15,38.1399993896484,64.5699996948242,61.1199989318848,NA,NA,"ckc0g","vyrpd"
0,13,9,10,13,39.0099983215332,64.6100006103516,68.1999969482422,NA,NA,"r9uqr","zejzm"
0,NA,NA,9,12,52.5699996948242,NA,NA,NA,NA,NA,NA
1,NA,NA,8,9,56.4799995422363,NA,NA,NA,NA,NA,NA
1,NA,NA,10,17,47.2099990844727,NA,NA,NA,NA,NA,NA
1,NA,NA,12,13,54.1500015258789,NA,NA,NA,NA,NA,NA
1,19,15,6,8,24.1800003051758,49.4199981689453,52.5800018310547,NA,49,"d3kq5","dqsaa"
0,6,7,11,11,33.1300010681152,66.4000015258789,70.1100006103516,42.2000007629395,NA,"mu69a","jwv6m"
0,1,9,7,2,55.310001373291,75.0699996948242,81.620002746582,71,NA,"lnkmq","rhexx"
1,NA,NA,6,0,58.4799995422363,NA,NA,NA,NA,NA,NA
1,0,5,4,4,36.0099983215332,NA,66.879997253418,NA,NA,"h0nty","roeah"
1,11,9,11,15,38.2799987792969,68.9400024414062,72.7600021362305,NA,NA,"n1mcb","yfec1"
0,NA,NA,16,0,43.1699981689453,NA,NA,NA,NA,NA,NA
0,7,8,6,7,41.6800003051758,80.5999984741211,81.4000015258789,NA,67.2300033569336,"ardr6","u98ks"
0,NA,NA,13,14,52.8600006103516,NA,NA,NA,NA,NA,NA
0,5,12,13,9,33.8199996948242,62.5800018310547,58.9700012207031,NA,NA,"xpf6g","nxjx0"
1,NA,NA,9,12,59.9799995422363,NA,NA,NA,NA,NA,NA
0,NA,NA,9,5,34.4900016784668,NA,NA,NA,NA,NA,NA
0,20,13,12,15,39.1500015258789,80.2900009155273,78.1699981689453,46.0800018310547,NA,"iudc5","aqke1"
0,NA,NA,9,1,56.0699996948242,NA,NA,NA,NA,NA,NA
0,NA,NA,7,0,52.4199981689453,NA,NA,NA,NA,NA,NA
0,NA,NA,11,10,21.6200008392334,NA,NA,NA,NA,NA,NA
0,0,6,9,12,29.7299995422363,83.6500015258789,69.879997253418,83.4899978637695,NA,"kemfh","t2t1p"
1,NA,NA,6,13,60.2200012207031,NA,NA,NA,NA,NA,NA
0,NA,NA,13,17,17.25,NA,NA,NA,NA,NA,NA
1,NA,NA,8,9,65.2099990844727,NA,NA,NA,NA,NA,NA
1,NA,NA,10,5,67.879997253418,NA,NA,NA,NA,NA,NA
1,NA,NA,7,10,46.1800003051758,NA,NA,NA,NA,NA,NA
0,NA,NA,9,1,79.0100021362305,NA,NA,NA,NA,NA,NA
0,NA,NA,7,10,43.5400009155273,NA,NA,NA,NA,NA,NA
0,17,19,13,14,36.2900009155273,64.5699996948242,61.1199989318848,NA,NA,"ckc0g","vyrpd"
1,NA,NA,9,12,69.3300018310547,NA,NA,NA,NA,NA,NA
1,NA,NA,11,11,64.2099990844727,NA,NA,NA,NA,NA,NA
0,NA,NA,7,10,73.2699966430664,NA,NA,NA,NA,NA,NA
0,NA,NA,6,10,60.9000015258789,NA,NA,NA,NA,NA,NA
0,1,9,8,9,52.8199996948242,77.7900009155273,79.0100021362305,NA,NA,"w38k1","ni7wj"
1,12,10,12,15,47.3600006103516,72.4300003051758,72.4300003051758,NA,NA,"da1ox","gmsrp"
0,NA,NA,10,4,26.8899993896484,NA,NA,NA,NA,NA,NA
1,NA,NA,6,6,70.25,NA,NA,NA,NA,NA,NA
1,13,11,8,7,33.6300010681152,64.2799987792969,62.9300003051758,NA,NA,"oijar","onqdh"
1,3,5,4,11,33.4500007629395,72.9300003051758,60.0900001525879,NA,NA,"zgxpr","blo6b"
0,NA,NA,10,11,48.4000015258789,NA,NA,NA,NA,NA,NA
1,NA,NA,18,21,58.8899993896484,NA,NA,NA,NA,NA,NA
0,NA,NA,14,0,48.810001373291,NA,NA,NA,NA,NA,NA
0,NA,NA,6,7,50.6500015258789,NA,NA,NA,NA,NA,NA
0,NA,NA,3,13,62.0099983215332,NA,NA,NA,NA,NA,NA
1,NA,NA,8,8,82.25,NA,NA,NA,NA,NA,NA
1,NA,NA,5,13,43.5,NA,NA,NA,NA,NA,NA
1,8,7,9,15,34,62.5400009155273,63.5099983215332,55.0400009155273,NA,"lpqda","uwtzh"
0,NA,NA,7,6,65.5299987792969,NA,NA,NA,NA,NA,NA
0,NA,NA,8,9,25.4500007629395,NA,NA,NA,NA,NA,NA
1,NA,NA,31,48,52.9599990844727,NA,NA,NA,NA,NA,NA
1,17,19,13,16,26.7999992370605,64.5699996948242,61.1199989318848,NA,NA,"ckc0g","vyrpd"
0,NA,NA,10,2,85.7300033569336,NA,NA,NA,NA,NA,NA
1,NA,NA,5,7,48.6500015258789,NA,NA,NA,NA,NA,NA
0,NA,NA,7,11,63.7999992370605,NA,NA,NA,NA,NA,NA
0,NA,NA,6,0,59.1599998474121,NA,NA,NA,NA,NA,NA
1,NA,NA,10,16,38.0200004577637,NA,NA,NA,NA,NA,NA
1,12,9,7,12,26.4799995422363,49.4199981689453,52.5699996948242,NA,NA,"h8iij","sno4w"
0,NA,NA,9,13,68.1999969482422,NA,NA,NA,NA,NA,NA
0,7,9,7,11,27.9799995422363,64.0199966430664,65.2600021362305,42.6300010681152,NA,"rqbu3","g046f"
0,NA,NA,18,21,57.5,NA,NA,NA,NA,NA,NA
1,11,7,13,17,31.7199993133545,66.9000015258789,63.7999992370605,60,NA,"lnv2v","bti2x"
1,NA,NA,9,11,68.9400024414062,NA,NA,NA,NA,NA,NA
0,NA,NA,9,1,81.620002746582,NA,NA,NA,NA,NA,NA
0,NA,NA,13,22,56.9900016784668,NA,NA,NA,NA,NA,NA
0,NA,NA,14,32,41.8699989318848,NA,NA,NA,NA,NA,NA
0,NA,NA,11,12,69.3899993896484,NA,NA,NA,NA,NA,NA
1,8,7,7,11,37.8400001525879,62.5400009155273,63.5099983215332,55.0400009155273,NA,"lpqda","uwtzh"
1,7,8,9,11,54.3199996948242,80.5999984741211,84,NA,40,"ardr6","bpkb1"
0,9,8,4,4,36.3199996948242,65.2099990844727,67.8099975585938,NA,36.810001373291,"k3syj","m7f7l"
0,26,22,10,12,34.1100006103516,63.3400001525879,66.4700012207031,NA,NA,"z0c51","m8io8"
0,NA,NA,13,10,43.060001373291,NA,NA,NA,NA,NA,NA
0,NA,NA,13,8,58.1399993896484,NA,NA,NA,NA,NA,NA
1,NA,NA,6,10,72.5800018310547,NA,NA,NA,NA,NA,NA
1,9,13,11,11,38.1699981689453,66.6399993896484,66.120002746582,NA,NA,"lge7y","m5cr4"
1,NA,NA,11,2,51.3499984741211,NA,NA,NA,NA,NA,NA
0,NA,NA,9,7,65.2600021362305,NA,NA,NA,NA,NA,NA
0,NA,NA,6,8,31.4599990844727,NA,NA,NA,NA,NA,NA
1,NA,NA,6,7,57.9900016784668,NA,NA,NA,NA,NA,NA
0,NA,NA,5,4,62.0400009155273,NA,NA,NA,NA,NA,NA
0,NA,NA,8,0,84.1900024414062,NA,NA,NA,NA,NA,NA
0,NA,NA,7,0,78.2799987792969,NA,NA,NA,NA,NA,NA
1,24,19,16,25,43.310001373291,65.0999984741211,65.0100021362305,NA,NA,"so9ie","dmmws"
0,NA,NA,10,17,44.3300018310547,NA,NA,NA,NA,NA,NA
0,NA,NA,15,2,35.9799995422363,NA,NA,NA,NA,NA,NA
0,NA,NA,8,6,64.1500015258789,NA,NA,NA,NA,NA,NA
0,NA,NA,10,11,48.2299995422363,NA,NA,NA,NA,NA,NA
0,11,10,13,16,27.1000003814697,53.1500015258789,59.4599990844727,NA,NA,"ajn7p","fqkza"
0,11,8,5,7,54.3600006103516,83.9899978637695,84.8600006103516,NA,NA,"xdwod","tywtw"
0,NA,NA,10,12,36.7299995422363,NA,NA,NA,NA,NA,NA
0,NA,NA,23,19,46.7000007629395,NA,NA,NA,NA,NA,NA
0,NA,NA,7,2,67.879997253418,NA,NA,NA,NA,NA,NA
0,29,26,13,14,29.3500003814697,59.6300010681152,54.8800010681152,NA,NA,"ig9h9","gp25h"
0,NA,NA,11,14,40.1399993896484,NA,NA,NA,NA,NA,NA
0,NA,NA,23,22,71.3000030517578,NA,NA,NA,NA,NA,NA
0,5,14,8,11,32.5499992370605,60.939998626709,61.0999984741211,45.8600006103516,NA,"lv1kg","t4ncz"
0,NA,NA,13,20,78.1699981689453,NA,NA,NA,NA,NA,NA
0,NA,NA,15,2,69.5199966430664,NA,NA,NA,NA,NA,NA
0,NA,NA,7,8,63.5099983215332,NA,NA,NA,NA,NA,NA
0,NA,NA,7,5,26.2600002288818,NA,NA,NA,NA,NA,NA
1,NA,NA,5,7,54.2799987792969,NA,NA,NA,NA,NA,NA
1,NA,NA,12,16,35.2000007629395,NA,NA,NA,NA,NA,NA
1,NA,NA,9,10,53.0499992370605,NA,NA,NA,NA,NA,NA
0,NA,NA,13,17,61.2400016784668,NA,NA,NA,NA,NA,NA
1,NA,NA,16,32,37.7999992370605,NA,NA,NA,NA,NA,NA
0,12,9,12,14,43.8800010681152,69.3300018310547,73.3300018310547,NA,NA,"h56se","b7s0c"
1,5,5,9,11,37.5400009155273,63.2599983215332,63.1100006103516,NA,NA,"uwfwl","pxm4l"
1,NA,NA,9,11,39.0299987792969,NA,NA,NA,NA,NA,NA
1,NA,NA,8,14,62.6300010681152,NA,NA,NA,NA,NA,NA
0,NA,NA,9,7,73.7099990844727,NA,NA,NA,NA,NA,NA
1,NA,NA,7,1,74.1399993896484,NA,NA,NA,NA,NA,NA
0,NA,NA,7,0,56.0099983215332,NA,NA,NA,NA,NA,NA
1,NA,NA,8,0,28.9400005340576,NA,NA,NA,NA,NA,NA
0,NA,NA,6,16,80.1900024414062,NA,NA,NA,NA,NA,NA
1,NA,NA,7,6,67.7200012207031,NA,NA,NA,NA,NA,NA
0,NA,NA,5,7,79.0100021362305,NA,NA,NA,NA,NA,NA
0,NA,NA,6,8,67.5100021362305,NA,NA,NA,NA,NA,NA
0,NA,NA,19,24,65.0100021362305,NA,NA,NA,NA,NA,NA
1,NA,NA,15,16,60.4199981689453,NA,NA,NA,NA,NA,NA
1,NA,NA,10,11,65.3399963378906,NA,NA,NA,NA,NA,NA
1,57,28,14,15,29.3899993896484,58.5400009155273,61.0299987792969,NA,NA,"eurf6","d2m70"
0,NA,NA,11,9,38.9599990844727,NA,NA,NA,NA,NA,NA
0,22,23,10,16,41.1800003051758,72.4199981689453,71.3000030517578,NA,NA,"k72pe","xsy4x"
0,NA,NA,4,2,65.5599975585938,NA,NA,NA,NA,NA,NA
0,8,13,7,5,28.9200000762939,63.6100006103516,58.1399993896484,NA,NA,"loteh","lar2v"
0,NA,NA,5,0,74.5699996948242,NA,NA,NA,NA,NA,NA
0,0,0,7,9,50.4799995422363,77.870002746582,80.0999984741211,NA,76,"i3prn","iawty"
1,NA,NA,5,5,63.2599983215332,NA,NA,NA,NA,NA,NA
0,NA,NA,7,6,70.1100006103516,NA,NA,NA,NA,NA,NA
1,16,6,14,32,47.9199981689453,74.3099975585938,80.1900024414062,NA,NA,"ihdaf","lg6yv"
0,NA,NA,12,1,34.4500007629395,NA,NA,NA,NA,NA,NA
1,NA,NA,9,1,77.7900009155273,NA,NA,NA,NA,NA,NA
0,NA,NA,5,6,73.8899993896484,NA,NA,NA,NA,NA,NA
0,NA,NA,4,7,62.7000007629395,NA,NA,NA,NA,NA,NA
0,6,7,13,17,30.3899993896484,67.7200012207031,65.5299987792969,NA,NA,"jloo0","obpg7"
0,NA,NA,18,53,55.6500015258789,NA,NA,NA,NA,NA,NA
0,6,6,8,7,34.810001373291,70.25,74.8600006103516,NA,NA,"nenyj","edhgy"
0,NA,NA,19,1,36.9900016784668,NA,NA,NA,NA,NA,NA
1,NA,NA,6,7,38.560001373291,NA,NA,NA,NA,NA,NA
0,NA,NA,8,0,65.870002746582,NA,NA,NA,NA,NA,NA
0,NA,NA,11,13,62.9300003051758,NA,NA,NA,NA,NA,NA
0,NA,NA,9,11,39.3300018310547,NA,NA,NA,NA,NA,NA
1,NA,NA,19,21,80.2200012207031,NA,NA,NA,NA,NA,NA
1,NA,NA,15,30,61.0400009155273,NA,NA,NA,NA,NA,NA
0,NA,NA,13,8,23.0400009155273,NA,NA,NA,NA,NA,NA
0,24,19,18,18,36.9500007629395,65.0999984741211,65.0100021362305,NA,NA,"so9ie","dmmws"
1,NA,NA,6,2,73.4899978637695,NA,NA,NA,NA,NA,NA
1,24,19,10,14,28.6000003814697,65.0999984741211,65.0100021362305,NA,NA,"so9ie","dmmws"
1,10,9,12,17,66.6500015258789,89.9100036621094,88.6600036621094,86,NA,"i16re","vos8u"
1,NA,NA,9,10,50.8199996948242,NA,NA,NA,NA,NA,NA
1,NA,NA,10,12,67.7699966430664,NA,NA,NA,NA,NA,NA
1,12,10,11,11,30.8899993896484,67.7699966430664,61.3899993896484,NA,NA,"t634i","i7igx"
0,NA,NA,11,2,40.75,NA,NA,NA,NA,NA,NA
1,NA,NA,10,12,49.8800010681152,NA,NA,NA,NA,NA,NA
0,NA,NA,6,2,74.879997253418,NA,NA,NA,NA,NA,NA
0,9,13,12,14,24.6700000762939,66.6399993896484,66.120002746582,NA,NA,"lge7y","m5cr4"
1,1,6,9,14,50.3600006103516,83.120002746582,80.7699966430664,69.3899993896484,NA,"biw7n","c5ulo"
0,NA,NA,8,0,45.7200012207031,NA,NA,NA,NA,NA,NA
1,NA,NA,10,0,53.3499984741211,NA,NA,NA,NA,NA,NA
0,18,12,14,15,30.7099990844727,59.4599990844727,65.4199981689453,NA,NA,"sxjix","jx4fj"
1,NA,NA,20,27,57.6399993896484,NA,NA,NA,NA,NA,NA
0,NA,NA,4,5,25.8799991607666,NA,NA,NA,NA,NA,NA
1,NA,NA,13,8,58.5999984741211,NA,NA,NA,NA,NA,NA
0,NA,NA,9,7,55.7000007629395,NA,NA,NA,NA,NA,NA
1,NA,NA,24,30,54.7999992370605,NA,NA,NA,NA,NA,NA
0,NA,NA,2,0,33.9900016784668,NA,NA,NA,NA,NA,NA
0,NA,NA,22,26,66.4700012207031,NA,NA,NA,NA,NA,NA
1,5,10,11,14,37.8400001525879,67.879997253418,70.7399978637695,NA,NA,"wgcv3","vzdmj"
0,NA,NA,10,7,61.9300003051758,NA,NA,NA,NA,NA,NA
1,24,19,13,18,31.3299999237061,65.0999984741211,65.0100021362305,NA,NA,"so9ie","dmmws"
0,NA,NA,5,10,42.1699981689453,NA,NA,NA,NA,NA,NA
1,NA,NA,7,0,55.7599983215332,NA,NA,NA,NA,NA,NA
1,NA,NA,10,14,52.6800003051758,NA,NA,NA,NA,NA,NA
1,0,9,9,12,33.4099998474121,70.7799987792969,75.2900009155273,42.4599990844727,NA,"ehjn5","rblc8"
0,NA,NA,9,1,46.4000015258789,NA,NA,NA,NA,NA,NA
0,NA,NA,1,4,61.2000007629395,NA,NA,NA,NA,NA,NA
0,NA,NA,6,2,74.3000030517578,NA,NA,NA,NA,NA,NA
0,20,13,12,18,43.2799987792969,80.2900009155273,78.1699981689453,46.0800018310547,NA,"iudc5","aqke1"
1,12,10,7,12,37.1100006103516,72.4300003051758,72.4300003051758,NA,NA,"da1ox","gmsrp"
0,NA,NA,9,14,49.25,NA,NA,NA,NA,NA,NA
0,NA,NA,10,11,74.2399978637695,NA,NA,NA,NA,NA,NA
0,NA,NA,11,10,59.1500015258789,NA,NA,NA,NA,NA,NA
0,NA,NA,9,12,73.3300018310547,NA,NA,NA,NA,NA,NA
1,NA,NA,8,12,64.3399963378906,NA,NA,NA,NA,NA,NA
1,NA,NA,13,17,57.9900016784668,NA,NA,NA,NA,NA,NA
1,NA,NA,18,53,45.7900009155273,NA,NA,NA,NA,NA,NA
0,NA,NA,4,8,66.629997253418,NA,NA,NA,NA,NA,NA
0,NA,NA,5,7,59.8899993896484,NA,NA,NA,NA,NA,NA
1,NA,NA,11,10,26.8899993896484,NA,NA,NA,NA,NA,NA
1,NA,NA,7,10,73.4199981689453,NA,NA,NA,NA,NA,NA
0,NA,NA,7,1,32.8800010681152,NA,NA,NA,NA,NA,NA
0,NA,NA,10,12,50.5999984741211,NA,NA,NA,NA,NA,NA
0,NA,NA,9,22,52.5900001525879,NA,NA,NA,NA,NA,NA
1,NA,NA,0,0,77.870002746582,NA,NA,NA,NA,NA,NA
0,NA,NA,12,10,52,NA,NA,NA,NA,NA,NA
1,NA,NA,26,29,59.6300010681152,NA,NA,NA,NA,NA,NA
1,NA,NA,8,6,62.689998626709,NA,NA,NA,NA,NA,NA
1,10,4,8,2,46.5499992370605,80.3000030517578,63,NA,NA,"un4ms","duj8l"
0,NA,NA,9,1,69.7600021362305,NA,NA,NA,NA,NA,NA
1,NA,NA,1,4,61.6300010681152,NA,NA,NA,NA,NA,NA
1,NA,NA,19,1,43.2700004577637,NA,NA,NA,NA,NA,NA
0,20,17,10,14,28.1499996185303,57.7000007629395,60.0200004577637,NA,NA,"d355w","bmphl"
0,NA,NA,4,10,66.129997253418,NA,NA,NA,NA,NA,NA
1,NA,NA,14,9,47.9199981689453,NA,NA,NA,NA,NA,NA
0,NA,NA,9,12,66.0400009155273,NA,NA,NA,NA,NA,NA
0,NA,NA,15,24,55.8300018310547,NA,NA,NA,NA,NA,NA
0,NA,NA,9,11,62.7599983215332,NA,NA,NA,NA,NA,NA
1,NA,NA,9,9,51.7000007629395,NA,NA,NA,NA,NA,NA
1,NA,NA,13,14,52.7000007629395,NA,NA,NA,NA,NA,NA
1,NA,NA,6,7,74.6100006103516,NA,NA,NA,NA,NA,NA
0,NA,NA,11,4,46.6599998474121,NA,NA,NA,NA,NA,NA
0,11,10,8,12,37.8800010681152,65.6999969482422,74.2399978637695,24.7000007629395,NA,"i3v18","cibrq"
0,NA,NA,4,11,33.5400009155273,NA,NA,NA,NA,NA,NA
0,NA,NA,11,11,60.7799987792969,NA,NA,NA,NA,NA,NA
0,NA,NA,7,12,32.1500015258789,NA,NA,NA,NA,NA,NA
1,NA,NA,10,20,60.2599983215332,NA,NA,NA,NA,NA,NA
1,NA,NA,8,7,80.5999984741211,NA,NA,NA,NA,NA,NA
1,12,10,12,15,27.6499996185303,67.7699966430664,61.3899993896484,NA,NA,"t634i","i7igx"
1,1,9,11,9,36.7400016784668,75.0699996948242,81.620002746582,71,NA,"lnkmq","rhexx"
0,NA,NA,7,10,67,NA,NA,NA,NA,NA,NA
1,NA,NA,3,0,44.6500015258789,NA,NA,NA,NA,NA,NA
0,0,9,8,11,51.0400009155273,70.7799987792969,75.2900009155273,42.4599990844727,NA,"ehjn5","rblc8"
1,7,12,15,10,38.7799987792969,66.2099990844727,61.1300010681152,NA,NA,"jg12p","qr3nm"
0,6,7,9,10,40.2099990844727,66.4000015258789,70.1100006103516,42.2000007629395,NA,"mu69a","jwv6m"
0,NA,NA,10,0,64.1399993896484,NA,NA,NA,NA,NA,NA
0,NA,NA,7,12,54.4300003051758,NA,NA,NA,NA,NA,NA
1,NA,NA,12,14,32.2200012207031,NA,NA,NA,NA,NA,NA
0,NA,NA,5,5,56.9900016784668,NA,NA,NA,NA,NA,NA
1,NA,NA,13,2,56.2700004577637,NA,NA,NA,NA,NA,NA
1,NA,NA,15,14,51.1699981689453,NA,NA,NA,NA,NA,NA
0,NA,NA,11,11,49.0800018310547,NA,NA,NA,NA,NA,NA
1,NA,NA,6,9,54.0900001525879,NA,NA,NA,NA,NA,NA
0,NA,NA,19,19,55.5999984741211,NA,NA,NA,NA,NA,NA
1,NA,NA,23,22,72.4199981689453,NA,NA,NA,NA,NA,NA
0,NA,NA,10,12,61.3899993896484,NA,NA,NA,NA,NA,NA
1,NA,NA,8,2,77.5800018310547,NA,NA,NA,NA,NA,NA
0,NA,NA,28,57,61.0299987792969,NA,NA,NA,NA,NA,NA
1,NA,NA,14,12,64.9199981689453,NA,NA,NA,NA,NA,NA
0,NA,NA,13,2,48.7099990844727,NA,NA,NA,NA,NA,NA
