"rs","rsf","rsm","age"
12,3,3,39
NA,7,7,18
9,9,9,49
NA,10,10,29
1,NA,3,51
4,8,8,84
0,8,8,27
NA,5,5,52
4,9,9,53
4,8,8,38
NA,4,4,21
NA,3,5,84
6,10,10,56
9,8,8,73
4,4,4,55
5,9,9,42
10,7,7,66
1,8,8,33
NA,4,4,38
4,8,8,67
0,8,8,64
7,11,11,51
NA,8,8,80
1,NA,NA,75
10,9,10,55
NA,NA,NA,37
5,4,4,41
NA,7,7,21
7,8,8,41
7,12,12,45
8,7,7,45
NA,7,7,30
NA,19,19,63
11,4,9,79
0,11,11,77
7,NA,4,29
9,NA,NA,73
10,6,3,48
6,11,11,30
NA,5,5,28
8,11,11,77
4,NA,NA,60
8,2,5,58
NA,4,4,68
NA,9,9,28
NA,5,5,21
7,9,9,58
2,10,10,20
6,10,10,39
6,8,8,62
NA,5,5,18
2,8,8,42
8,7,7,46
11,10,10,41
NA,NA,1,23
NA,6,7,33
6,6,4,31
3,NA,NA,65
NA,7,7,22
NA,10,10,19
12,12,12,59
NA,8,9,56
8,1,2,28
3,2,2,21
2,6,6,71
11,9,9,34
7,NA,NA,69
3,5,5,39
11,6,6,48
5,5,5,43
6,8,8,34
4,8,8,34
6,6,6,70
NA,5,5,24
9,5,5,53
8,11,11,56
4,7,7,25
6,9,9,58
5,6,7,28
1,7,7,48
6,10,10,76
NA,6,6,73
1,5,5,27
7,3,3,66
1,7,7,33
NA,5,4,29
NA,6,9,29
3,9,9,32
3,8,8,34
NA,8,8,25
NA,2,2,33
5,7,7,73
NA,6,6,24
NA,14,16,57
8,9,9,68
6,7,7,38
9,9,9,52
NA,11,11,66
4,9,9,33
8,10,10,48
NA,8,8,24
7,9,9,39
NA,NA,NA,60
6,13,5,48
5,11,11,62
NA,4,5,38
NA,8,8,36
3,9,9,69
NA,8,8,48
NA,NA,NA,19
2,3,3,44
8,8,8,61
NA,12,12,34
4,NA,12,72
NA,6,6,54
NA,5,5,48
11,NA,NA,48
9,10,10,75
7,8,8,51
6,2,4,40
18,8,8,79
3,5,3,35
NA,10,10,59
NA,10,5,36
6,5,5,29
7,5,5,27
4,7,7,23
1,10,10,31
2,14,14,19
NA,9,9,48
NA,8,8,21
4,9,9,52
6,8,8,57
9,4,4,52
NA,NA,1,70
3,5,5,44
NA,9,10,71
4,10,10,33
7,4,7,26
2,8,8,30
5,11,11,51
7,10,11,34
9,6,6,46
5,NA,NA,36
4,10,10,36
5,5,5,39
10,7,7,54
8,9,9,44
7,4,4,53
6,9,1,40
1,8,8,23
8,NA,1,33
11,8,8,54
NA,13,13,81
2,7,8,48
1,10,9,51
12,6,6,57
NA,NA,NA,43
3,7,8,39
4,1,6,49
6,8,8,25
8,9,9,40
10,8,8,35
9,8,8,59
NA,9,9,36
4,8,8,32
7,8,8,29
4,7,7,64
NA,6,6,19
3,3,3,48
NA,NA,NA,26
6,10,10,26
9,9,9,42
7,2,2,30
9,10,10,41
9,6,6,58
NA,5,5,26
NA,10,10,31
NA,5,5,29
1,10,10,26
5,5,6,24
NA,11,4,29
6,11,11,54
1,10,10,67
11,NA,NA,87
NA,7,7,58
9,8,8,53
NA,7,7,46
4,9,9,28
NA,12,12,26
2,NA,5,69
NA,8,8,68
2,2,2,69
NA,6,7,78
12,7,6,55
1,4,4,25
5,9,9,71
6,7,7,45
6,NA,NA,31
NA,NA,NA,80
8,NA,NA,60
NA,NA,NA,88
2,4,8,30
6,NA,NA,30
6,2,2,40
NA,8,6,19
NA,6,6,51
3,8,8,32
10,9,9,75
10,6,6,76
NA,8,8,23
8,NA,2,65
5,8,8,55
3,2,4,80
13,21,4,67
NA,9,9,30
NA,9,9,29
6,NA,NA,59
2,NA,NA,44
3,9,10,24
1,7,7,75
1,7,8,75
1,8,8,24
10,7,7,34
5,12,12,41
5,NA,NA,67
8,6,6,78
NA,5,5,41
5,7,7,68
3,6,6,40
12,11,11,58
6,4,4,34
4,8,8,27
NA,19,8,34
9,7,8,56
7,15,7,31
12,6,8,51
NA,12,12,28
NA,10,10,19
1,5,5,23
8,11,11,36
1,19,19,46
8,4,4,29
6,8,8,23
9,10,11,34
1,5,5,37
5,8,8,39
2,4,4,22
NA,5,5,26
NA,6,NA,51
NA,3,3,37
11,9,9,79
0,5,5,55
NA,1,1,68
NA,4,4,72
7,NA,NA,50
8,1,8,35
2,8,8,56
2,11,11,21
NA,11,11,72
NA,5,5,79
4,3,3,27
10,10,10,73
3,12,12,73
2,8,8,30
NA,19,19,50
NA,4,5,69
5,4,4,29
10,10,10,41
11,10,10,60
NA,4,5,66
6,9,9,66
NA,10,11,66
9,9,9,77
7,5,5,29
7,2,2,55
9,7,7,63
NA,10,10,49
4,11,8,34
1,NA,1,47
NA,12,12,59
NA,16,11,70
NA,NA,4,46
8,6,6,56
7,9,9,37
6,3,3,39
1,8,8,31
6,4,4,53
6,8,8,54
NA,11,8,37
NA,8,8,58
3,5,5,35
1,10,10,19
NA,11,11,46
2,8,8,36
2,9,9,49
2,NA,NA,35
12,11,7,65
2,NA,1,65
11,6,6,40
NA,4,4,39
8,9,9,80
NA,1,8,24
NA,6,7,19
3,11,11,48
NA,12,12,47
10,11,11,68
5,8,6,76
1,8,8,77
9,10,10,37
3,7,7,28
NA,9,9,39
5,NA,NA,42
1,NA,NA,26
2,4,5,76
5,4,3,77
3,5,5,51
4,10,5,57
8,15,15,69
10,10,10,31
4,10,10,69
4,7,7,73
NA,12,12,36
6,10,10,69
1,2,2,30
NA,5,5,26
NA,9,9,21
NA,7,7,70
13,9,6,73
NA,8,8,41
NA,9,9,32
7,9,9,41
11,9,9,65
9,8,8,85
8,4,4,37
9,10,10,39
8,10,10,83
10,10,10,80
4,8,8,30
NA,6,6,18
NA,3,4,33
10,10,10,43
10,8,8,72
10,7,7,58
4,14,14,43
NA,9,9,44
NA,9,9,36
NA,8,8,28
NA,10,10,21
3,5,6,62
9,6,6,39
7,6,6,37
NA,9,9,20
3,6,6,22
2,3,3,41
5,6,6,38
3,NA,3,46
2,1,2,19
NA,7,7,72
0,NA,2,58
NA,7,7,32
NA,10,10,19
7,8,5,64
3,6,6,33
NA,7,7,32
NA,NA,NA,31
NA,7,7,59
8,6,6,58
1,7,6,49
5,1,7,41
NA,6,6,30
8,4,4,54
NA,14,16,28
14,8,8,72
9,4,4,61
NA,10,10,22
NA,6,6,51
4,10,10,41
6,NA,3,74
NA,3,3,68
2,4,4,66
3,NA,NA,53
NA,7,7,21
6,10,10,61
3,10,10,66
NA,6,6,69
5,9,9,35
3,9,9,71
10,9,8,56
2,5,5,66
6,6,9,67
3,NA,4,33
4,8,8,41
7,5,5,69
4,3,4,33
6,9,9,55
5,6,6,49
NA,5,5,18
1,3,4,47
NA,8,8,55
NA,5,2,51
NA,2,3,24
7,7,7,66
2,6,6,20
5,10,10,24
NA,8,8,29
NA,9,9,27
14,NA,NA,58
NA,5,5,55
5,8,8,62
1,15,9,32
6,NA,7,67
7,10,10,76
5,3,3,64
14,4,4,74
3,2,2,31
NA,8,8,24
NA,8,9,18
13,10,10,55
6,3,3,65
7,8,8,34
9,10,10,51
NA,6,4,70
4,5,2,48
11,15,15,82
NA,5,5,20
3,8,8,35
NA,3,3,62
5,7,7,34
NA,10,10,24
NA,6,7,24
4,9,9,55
4,6,6,34
12,5,5,53
NA,2,2,38
8,3,5,58
4,5,5,52
5,NA,NA,53
1,NA,NA,32
1,6,6,56
5,5,5,73
NA,5,5,26
1,7,7,39
5,NA,2,26
6,NA,NA,58
0,10,10,46
3,5,5,32
NA,12,11,35
6,19,19,68
8,2,2,43
10,9,9,68
4,10,10,24
NA,7,8,73
3,2,2,60
2,7,7,32
9,10,10,39
7,3,8,26
NA,7,7,20
NA,5,5,20
6,8,8,63
6,5,5,43
6,7,7,62
NA,5,5,40
NA,NA,NA,83
4,11,11,82
6,10,10,71
2,4,4,44
6,8,8,55
NA,8,8,45
NA,6,4,28
2,9,9,23
NA,9,9,20
11,9,5,36
NA,NA,6,49
6,7,7,65
9,10,10,32
2,3,3,44
5,1,1,44
5,7,7,32
NA,8,8,25
5,14,15,76
6,7,7,42
7,7,7,49
8,8,8,66
8,9,9,50
NA,9,9,21
NA,NA,NA,79
3,10,11,38
NA,1,7,33
4,8,8,66
7,9,8,48
1,10,10,56
7,7,7,33
6,4,4,66
5,5,1,44
7,9,9,49
NA,5,5,26
NA,4,4,47
NA,5,5,19
7,2,2,44
5,3,4,34
5,7,7,49
4,5,5,36
4,6,6,31
6,10,10,38
NA,8,6,74
NA,8,8,57
7,9,9,53
NA,11,11,70
2,8,8,40
0,2,2,78
8,7,7,49
2,9,9,29
4,6,8,28
NA,6,6,27
5,9,9,27
7,7,8,28
1,6,6,36
5,6,6,46
5,6,6,32
NA,14,14,55
1,9,9,70
2,NA,NA,26
NA,10,10,28
7,NA,1,34
9,NA,7,47
7,9,9,41
NA,9,9,60
4,3,3,58
4,10,10,27
8,7,7,52
2,9,9,49
5,6,6,37
8,8,8,27
5,NA,4,60
3,7,7,37
11,14,16,61
1,14,15,68
NA,1,8,29
NA,10,10,63
6,8,8,27
NA,1,1,27
5,3,3,39
13,8,8,59
5,12,8,60
3,12,12,47
NA,4,4,18
11,10,10,70
7,6,6,72
4,7,9,30
10,12,12,66
NA,12,12,30
NA,11,11,39
8,9,9,86
5,8,8,28
7,11,11,75
NA,3,6,75
3,NA,NA,24
7,5,5,46
5,7,7,41
2,10,10,18
8,10,10,42
7,8,8,66
3,5,5,58
6,1,9,30
7,11,11,37
4,8,8,42
NA,13,13,58
4,7,7,32
2,8,8,26
5,5,6,39
NA,9,9,52
5,NA,NA,77
6,11,11,72
6,7,4,28
1,8,8,46
8,8,8,70
11,NA,NA,49
NA,9,9,25
3,6,6,83
2,12,4,24
1,2,2,65
NA,8,8,20
NA,4,4,57
5,NA,NA,51
NA,7,7,30
6,11,11,34
3,10,10,27
5,12,12,89
7,NA,NA,70
NA,8,8,33
12,4,4,42
4,11,12,44
7,6,6,40
3,7,7,22
NA,6,8,83
5,1,2,78
2,12,8,34
NA,4,8,26
NA,4,4,24
8,2,2,34
NA,11,11,72
3,7,7,50
5,8,8,32
5,NA,3,28
9,NA,1,53
NA,7,7,29
4,12,12,34
NA,NA,NA,61
NA,12,12,24
7,9,9,69
0,9,12,73
2,13,12,18
7,14,14,80
4,12,12,28
NA,15,15,32
4,6,6,38
2,11,11,28
8,13,13,58
4,5,4,30
NA,8,8,37
NA,11,11,46
6,6,6,39
2,10,10,49
1,NA,2,90
NA,8,8,57
4,9,9,81
NA,2,4,84
4,9,9,43
1,5,6,77
5,15,15,70
7,6,6,46
3,6,6,28
NA,NA,NA,53
NA,9,9,52
NA,6,6,31
NA,4,4,51
NA,4,4,49
8,9,9,78
NA,1,1,76
2,8,8,22
NA,10,10,37
NA,NA,5,34
NA,9,9,59
NA,11,11,21
NA,7,7,35
NA,1,7,22
1,10,10,83
6,9,9,35
NA,10,10,51
7,12,12,62
2,NA,NA,52
1,6,6,75
0,NA,NA,59
9,7,7,37
1,8,8,47
NA,7,7,30
6,13,2,42
NA,3,3,22
4,3,3,27
NA,8,9,29
9,10,10,67
8,6,6,28
7,5,9,43
NA,9,12,62
9,11,11,72
NA,3,3,50
NA,8,8,46
NA,11,12,33
NA,6,7,29
10,6,6,55
8,NA,NA,66
NA,12,12,24
1,4,4,43
NA,9,9,29
5,9,9,60
6,3,3,67
3,15,12,69
5,7,7,56
10,9,9,32
4,7,7,48
6,21,21,55
2,7,7,25
3,8,8,27
NA,7,7,18
NA,11,2,21
8,3,3,26
1,15,6,37
4,3,3,34
3,7,7,70
NA,9,9,59
NA,11,11,71
NA,11,11,27
NA,NA,NA,57
NA,8,5,57
NA,11,11,18
1,8,8,18
3,5,5,46
7,6,6,74
NA,NA,NA,65
4,9,9,25
2,8,8,23
5,6,6,30
8,NA,NA,60
4,4,4,28
NA,2,2,27
9,10,10,66
7,10,10,66
1,NA,NA,50
5,6,6,47
NA,10,10,26
NA,11,11,60
NA,1,6,66
7,11,11,55
8,6,6,63
7,5,5,37
3,2,3,24
NA,10,11,42
1,NA,3,44
2,10,10,55
7,NA,NA,65
5,12,12,72
7,NA,NA,54
6,8,8,23
NA,8,8,21
7,9,9,36
9,5,5,54
3,10,10,49
NA,NA,1,50
NA,12,8,27
9,4,4,34
NA,NA,NA,77
8,7,8,55
3,13,13,29
NA,13,13,54
5,9,9,36
2,7,7,35
4,8,8,26
NA,6,6,40
7,6,6,77
NA,NA,NA,41
8,10,10,40
5,6,7,76
6,9,9,71
2,10,10,26
3,12,11,44
7,12,7,47
7,10,10,32
10,14,14,86
NA,NA,NA,52
3,13,13,27
8,9,11,30
7,9,3,45
10,6,6,35
NA,9,9,32
8,2,8,49
0,NA,NA,38
5,19,13,42
7,10,10,49
4,10,10,80
6,6,6,61
NA,NA,7,82
NA,NA,NA,67
NA,11,11,54
NA,1,12,49
8,9,9,63
10,NA,NA,65
1,4,4,44
1,5,5,27
NA,7,7,39
2,4,4,53
NA,NA,8,19
4,12,12,61
1,NA,5,68
6,4,4,26
9,6,6,29
7,9,9,66
4,8,8,29
3,6,6,31
3,NA,NA,69
1,NA,2,18
10,NA,NA,74
2,8,8,35
5,6,6,46
NA,11,11,73
7,2,15,82
11,8,9,57
7,7,8,40
NA,6,6,68
5,7,7,52
10,9,5,65
4,1,6,45
NA,NA,NA,75
NA,NA,NA,73
12,4,5,81
NA,12,12,64
8,7,7,40
9,7,7,69
8,5,5,69
2,9,9,53
7,8,8,57
NA,9,9,27
NA,9,9,24
4,9,9,41
4,NA,NA,87
NA,10,10,39
7,4,4,55
7,7,7,28
6,10,10,30
1,NA,7,69
6,6,7,48
1,14,14,48
1,8,8,35
1,8,8,49
NA,NA,NA,64
3,7,7,24
5,12,12,30
4,NA,1,59
6,6,6,60
7,8,4,45
6,5,5,49
NA,11,11,18
4,NA,NA,32
10,10,10,47
NA,11,11,63
NA,12,9,81
8,8,8,54
NA,11,11,37
NA,9,9,53
10,5,5,35
6,8,8,51
5,6,7,57
3,NA,NA,61
9,11,11,33
3,9,10,69
2,1,6,44
NA,12,12,52
1,5,5,29
NA,5,5,44
0,6,6,66
3,8,8,19
NA,8,8,36
2,NA,NA,52
5,7,7,53
10,NA,NA,69
5,8,8,73
6,6,6,25
1,11,11,73
6,5,5,49
1,8,8,62
NA,10,10,19
NA,8,8,70
NA,13,15,61
NA,1,7,21
9,6,6,60
6,6,7,39
7,5,5,62
6,5,5,61
1,5,5,40
NA,8,8,29
9,9,9,36
8,9,9,48
NA,3,4,22
9,5,5,49
1,13,13,31
12,4,4,40
NA,12,12,40
NA,9,9,37
NA,11,11,50
4,9,9,29
NA,2,2,24
5,5,6,36
NA,9,9,23
NA,7,7,22
7,8,8,37
11,10,10,69
NA,6,6,35
9,9,9,56
5,9,9,48
NA,5,5,74
3,NA,NA,28
NA,15,10,74
6,9,9,61
1,7,7,52
2,2,3,33
NA,11,3,57
NA,7,7,38
2,7,6,31
3,5,5,65
NA,12,12,19
2,8,8,50
NA,7,7,40
1,7,3,53
5,13,13,73
0,8,8,50
4,4,4,34
NA,8,8,46
1,7,7,36
9,6,6,43
NA,NA,NA,27
NA,10,10,49
4,NA,7,26
NA,8,8,31
NA,7,7,48
NA,8,8,77
10,6,6,30
NA,10,10,23
NA,3,4,31
10,7,7,43
5,10,10,44
12,7,7,48
10,7,7,55
NA,6,7,28
NA,1,7,19
0,7,7,57
6,9,9,30
NA,7,7,26
NA,13,13,49
NA,6,7,41
6,11,6,51
10,9,9,49
6,8,8,66
1,8,9,32
NA,NA,NA,65
5,7,7,31
8,8,8,60
NA,7,8,31
9,8,8,72
NA,4,4,27
4,10,10,35
7,5,5,48
5,5,5,34
8,8,8,41
NA,5,5,47
5,7,7,34
NA,6,6,74
6,10,10,49
NA,7,7,42
NA,3,3,23
12,6,6,39
NA,5,8,68
8,9,9,41
4,8,8,58
7,NA,1,39
NA,NA,NA,67
12,9,9,45
11,NA,3,39
NA,9,9,44
8,7,7,54
4,8,8,55
NA,7,7,28
7,9,9,72
1,5,5,64
2,7,7,33
1,9,9,76
3,NA,NA,75
11,9,9,52
3,5,5,39
5,14,14,37
9,NA,NA,35
9,8,9,85
4,12,12,73
7,NA,NA,75
6,4,4,81
NA,7,7,21
6,8,8,58
NA,7,7,73
6,4,4,75
9,9,9,51
3,6,7,29
7,7,7,42
5,6,6,48
6,NA,2,81
5,8,8,80
NA,5,5,52
NA,7,7,25
7,12,8,57
3,9,9,50
4,8,8,32
11,NA,NA,67
NA,7,8,22
9,7,7,70
NA,8,8,46
4,7,7,31
7,12,12,49
NA,9,9,90
NA,11,11,31
NA,7,7,23
NA,8,8,40
7,10,10,41
8,10,10,37
2,6,6,33
3,10,10,31
1,NA,1,33
NA,NA,NA,46
NA,5,6,19
1,NA,NA,74
8,6,6,67
5,5,6,66
10,9,9,52
6,5,6,59
10,1,1,70
NA,2,3,20
6,5,5,41
NA,7,7,19
3,NA,NA,70
NA,10,10,27
NA,3,6,54
NA,5,6,18
7,10,10,61
NA,8,8,36
2,NA,NA,63
8,1,7,35
7,6,6,39
NA,12,12,36
NA,NA,1,58
3,NA,1,23
4,11,11,82
6,10,10,37
5,9,9,34
8,9,9,64
5,15,15,63
7,12,12,36
NA,6,6,18
5,5,5,36
1,11,12,44
6,7,5,45
12,8,8,51
NA,9,9,21
NA,5,6,22
NA,5,6,31
9,8,8,65
6,8,8,72
9,8,7,41
NA,8,8,20
7,6,6,29
5,NA,3,36
NA,8,8,38
NA,11,11,69
4,3,5,28
NA,7,7,18
0,4,6,60
10,7,7,41
NA,9,9,54
NA,7,8,25
2,6,6,36
7,8,8,35
NA,9,9,57
5,2,3,56
7,14,14,56
NA,8,8,38
4,6,6,78
3,8,8,36
12,9,9,53
8,6,8,65
4,4,4,42
1,7,7,48
6,7,7,26
7,9,7,41
1,7,8,20
8,NA,NA,71
1,6,7,31
11,12,12,74
NA,8,8,36
9,4,4,78
8,1,10,69
8,6,6,84
3,NA,NA,44
5,9,9,54
5,10,10,23
5,8,7,59
NA,3,3,48
6,12,12,77
8,8,8,70
7,1,1,40
4,NA,NA,80
NA,6,7,46
NA,NA,NA,26
NA,9,9,48
9,8,8,73
NA,9,5,30
NA,7,10,29
NA,9,9,36
8,NA,NA,78
7,3,4,55
5,10,10,40
4,NA,NA,61
7,7,7,52
NA,10,10,43
1,9,9,20
7,8,8,49
NA,7,7,26
6,5,3,61
3,NA,1,31
NA,8,8,22
NA,6,6,21
NA,9,9,22
9,7,7,62
3,6,6,31
9,15,15,69
7,6,5,41
5,5,5,33
5,4,4,51
5,4,4,64
NA,8,8,21
8,8,8,49
NA,6,6,26
9,NA,NA,73
NA,NA,NA,81
NA,NA,NA,82
12,NA,2,71
7,3,3,82
4,7,7,34
3,7,7,20
0,8,8,38
7,6,8,61
NA,NA,NA,55
NA,6,7,28
4,7,7,47
3,10,10,25
13,4,7,41
NA,7,7,28
5,6,6,36
8,10,10,54
4,4,4,54
4,5,5,28
NA,3,12,39
4,14,14,69
1,11,11,19
8,7,6,42
3,11,11,40
2,9,9,36
3,NA,NA,87
3,8,8,40
7,9,9,30
6,9,9,32
NA,10,10,24
10,5,5,44
NA,7,7,51
5,5,6,33
9,8,8,69
NA,NA,1,20
2,8,8,31
3,10,10,21
NA,6,6,23
NA,5,5,25
NA,6,8,59
9,11,12,41
NA,11,4,26
8,7,7,34
5,11,11,28
10,6,6,78
NA,7,8,65
5,2,8,35
1,11,8,18
9,2,2,56
4,10,10,67
NA,8,8,29
4,17,13,68
9,6,6,43
6,11,11,54
4,9,9,37
NA,8,9,20
NA,14,15,58
NA,5,5,26
8,11,11,32
2,10,10,21
6,4,4,37
3,5,5,50
2,10,10,19
8,7,7,60
4,13,13,57
2,10,10,41
7,8,6,77
NA,9,10,47
5,10,10,84
NA,4,4,20
8,6,6,72
6,7,7,29
2,4,4,55
6,NA,7,34
6,7,8,58
8,8,8,64
NA,9,12,63
2,9,9,51
NA,7,7,27
NA,9,10,28
NA,7,7,20
NA,9,9,19
8,7,7,30
3,NA,NA,71
0,19,8,40
12,4,4,46
3,8,8,24
NA,10,10,73
NA,10,10,33
7,8,8,64
7,9,9,40
9,8,8,31
NA,1,7,83
6,5,6,59
3,10,10,20
10,10,10,53
NA,8,8,39
NA,10,9,35
11,NA,NA,69
NA,10,10,74
NA,6,6,29
7,5,5,49
11,7,7,80
4,6,6,44
NA,NA,4,80
10,4,4,44
3,3,4,41
3,9,9,29
6,2,2,22
NA,13,13,47
NA,7,6,23
3,NA,NA,25
2,10,10,57
1,8,8,21
4,9,3,49
7,7,7,65
8,11,12,49
NA,6,6,27
1,6,6,32
5,NA,NA,62
7,14,3,47
NA,7,7,18
6,6,6,34
NA,8,7,41
7,6,6,49
2,9,9,31
4,8,6,42
NA,8,8,52
5,5,5,41
7,NA,NA,69
6,5,6,48
NA,4,6,32
0,NA,NA,53
6,7,8,56
10,9,9,44
3,6,6,30
4,8,8,44
2,NA,NA,27
NA,7,7,29
11,6,7,37
NA,11,11,42
11,NA,2,54
1,9,9,70
NA,12,11,20
2,5,5,21
NA,7,7,39
1,5,6,19
NA,11,11,76
3,5,5,24
NA,4,4,20
4,5,5,33
4,7,7,37
3,13,13,54
NA,10,10,19
NA,9,9,27
5,1,1,41
NA,13,13,47
6,7,7,29
NA,14,15,19
NA,3,3,30
7,7,7,73
NA,4,6,21
6,5,5,77
7,11,5,30
NA,6,6,39
9,11,11,61
11,NA,NA,67
8,9,9,55
3,8,8,31
NA,3,3,45
NA,7,7,63
NA,10,10,47
6,5,5,39
0,11,6,54
9,1,8,64
8,NA,NA,85
2,12,12,33
7,5,5,50
0,8,8,20
NA,13,13,73
6,8,8,24
7,11,11,52
2,8,8,46
2,8,8,59
6,9,9,77
10,8,8,66
2,4,8,83
9,6,6,43
NA,6,6,18
5,12,4,82
NA,5,5,18
5,6,6,53
7,3,3,38
6,8,8,29
11,9,9,54
NA,7,7,26
NA,6,6,32
4,8,8,31
4,7,7,48
9,6,3,62
NA,8,8,43
10,11,11,61
NA,6,6,30
NA,6,3,47
6,6,6,44
NA,11,5,45
NA,8,8,34
0,7,7,32
0,13,13,67
5,12,12,57
3,5,9,61
8,7,8,39
1,4,4,49
NA,11,11,34
6,11,11,28
NA,8,8,44
8,14,14,63
6,5,9,53
3,11,11,46
7,9,9,35
11,11,11,62
12,10,10,45
1,2,2,28
NA,NA,NA,60
8,10,10,37
NA,NA,NA,31
1,6,6,40
